"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.104625000E-3,5.097200317E0,3.412304077E0,-7.239844666E0
1.887762500E-2,5.195695496E0,3.714675293E0,-7.249275055E0
2.866462500E-2,5.284909973E0,3.828289032E0,-7.199728088E0
3.843162500E-2,5.244044952E0,3.783532104E0,-7.310797119E0
4.820562500E-2,5.138364716E0,3.788471832E0,-7.440577240E0
5.799362500E-2,5.070406036E0,3.736978912E0,-7.469317474E0
6.778862500E-2,5.132975922E0,3.680246887E0,-7.535928955E0
7.755462500E-2,5.163213043E0,3.667223969E0,-7.515571289E0
8.735062500E-2,5.167853394E0,3.678450623E0,-7.472610626E0
9.711662500E-2,5.207820282E0,3.658092957E0,-7.445666656E0
1.068816250E-1,5.264103241E0,3.637884979E0,-7.423662415E0
1.166776250E-1,5.291047211E0,3.599714355E0,-7.400610352E0
1.264436250E-1,5.299429779E0,3.578159180E0,-7.361691284E0
1.362396250E-1,5.306016083E0,3.532204742E0,-7.287445679E0
1.460196250E-1,5.295537872E0,3.523073730E0,-7.216642914E0
1.558016250E-1,5.282814331E0,3.502266998E0,-7.220684509E0
1.655666250E-1,5.286706238E0,3.516487427E0,-7.205266571E0
1.753626250E-1,5.275629272E0,3.515888672E0,-7.255561981E0
1.851286250E-1,5.264851685E0,3.538940735E0,-7.247029724E0
1.948946250E-1,5.281616821E0,3.564687195E0,-7.251819763E0
2.046906250E-1,5.243146820E0,3.541186066E0,-7.242988129E0
2.144566250E-1,5.235063629E0,3.584745483E0,-7.246580658E0
2.242526250E-1,5.233117676E0,3.597019958E0,-7.310497742E0
2.340126250E-1,5.213508453E0,3.679348755E0,-7.294780426E0
2.438086250E-1,5.195994873E0,3.740421753E0,-7.273075562E0
2.535716250E-1,5.210215302E0,3.806135101E0,-7.251819763E0
2.633676250E-1,5.244793396E0,3.838018799E0,-7.245981903E0
2.731426250E-1,5.276228027E0,3.818559265E0,-7.254514160E0
2.829066250E-1,5.235961761E0,3.741619263E0,-7.299720154E0
2.927036250E-1,5.253325653E0,3.762276306E0,-7.332801361E0
3.024686250E-1,5.278772736E0,3.730991364E0,-7.296427002E0
3.122646250E-1,5.302124176E0,3.732188873E0,-7.328460388E0
3.220326250E-1,5.321733398E0,3.735631714E0,-7.386689301E0
3.318266250E-1,5.377267914E0,3.750450897E0,-7.423363037E0
3.415926250E-1,5.415737915E0,3.748504944E0,-7.475754089E0
3.513576250E-1,5.546565857E0,3.747008057E0,-7.369774475E0
3.611536250E-1,5.668113098E0,3.680396576E0,-7.297774200E0
3.709316250E-1,5.798641663E0,3.522474976E0,-7.292684784E0
3.807086250E-1,5.900729370E0,3.306773529E0,-7.243886261E0
3.904816250E-1,5.956263885E0,3.184627533E0,-7.208859100E0
4.002776250E-1,6.085894318E0,3.063978424E0,-7.246131592E0
4.100436250E-1,6.325096893E0,2.934048615E0,-7.245981903E0
4.198086250E-1,6.626420288E0,2.833607483E0,-6.960226135E0
4.296056250E-1,6.420598297E0,2.378404083E0,-6.893614655E0
4.393746250E-1,6.564449158E0,2.373164978E0,-7.113657074E0
4.491676250E-1,6.691684570E0,3.231330414E0,-8.086933136E0
4.589336250E-1,6.713239746E0,3.490142212E0,-7.795788574E0
4.687286250E-1,6.504723358E0,3.015928345E0,-7.180867310E0
4.784946250E-1,6.346203003E0,2.933599548E0,-7.431446228E0
4.882726250E-1,6.301296387E0,3.090024261E0,-7.377408600E0
4.980506250E-1,6.252497864E0,2.940485229E0,-7.042854309E0
5.078226250E-1,5.970484314E0,2.912044373E0,-6.693331146E0
5.176176250E-1,5.248984680E0,3.248544617E0,-7.412435760E0
5.273836250E-1,6.109994202E0,2.118095398E0,-7.994575195E0
5.371796250E-1,7.357350311E0,1.752705231E0,-7.366631012E0
5.469446250E-1,7.574398956E0,2.246378632E0,-6.168372803E0
5.567306250E-1,7.572752380E0,2.280208282E0,-5.801186371E0
5.665066250E-1,7.473957825E0,1.805245972E0,-6.293662262E0
5.762726250E-1,7.400760040E0,7.726931763E-1,-6.302942963E0
5.860696250E-1,7.358248444E0,1.330732727E-1,-6.554869080E0
5.958346250E-1,8.554111633E0,1.170715485E0,-6.080206146E0
6.056316250E-1,8.532855835E0,1.253792725E0,-5.658682709E0
6.153956250E-1,8.582552490E0,8.313711548E-1,-6.460415497E0
6.251926250E-1,8.907077637E0,8.156538391E-1,-7.143445129E0
6.349576250E-1,9.292226715E0,3.372486877E-1,-7.873477020E0
6.447536250E-1,9.421707458E0,-4.086502075E-1,-8.097710724E0
6.545196250E-1,9.421408081E0,-1.000669098E0,-7.375911713E0
6.643096250E-1,9.702373810E0,-9.313632202E-1,-6.457272034E0
6.740816250E-1,9.849068756E0,-1.202000427E0,-6.330934753E0
6.838776250E-1,9.371112671E0,-1.544937286E0,-6.703659668E0
6.936426250E-1,9.610165558E0,-2.051633606E0,-5.911806335E0
7.034396250E-1,9.971214752E0,-2.542911987E0,-5.529800720E0
7.132116250E-1,1.026610153E1,-2.748434601E0,-6.173611908E0
7.229906250E-1,1.023346939E1,-2.696791992E0,-6.504573669E0
7.327476250E-1,1.025786865E1,-2.799628143E0,-6.244414673E0
7.425366250E-1,1.050665131E1,-2.883304138E0,-6.118376770E0
7.523216250E-1,1.043779449E1,-2.967279510E0,-6.165379028E0
7.620936250E-1,1.022224274E1,-2.615511017E0,-6.084247742E0
7.718706250E-1,9.942923584E0,-2.411485291E0,-6.325995026E0
7.816496250E-1,9.294921112E0,-2.785707092E0,-6.083349609E0
7.914186250E-1,8.637488251E0,-2.433639221E0,-5.296885071E0
8.012036250E-1,8.075407104E0,-1.765728149E0,-4.675377502E0
8.109766250E-1,7.561825104E0,-1.227148132E0,-4.322261810E0
8.207796250E-1,7.045848083E0,-8.295748901E-1,-4.078119507E0
8.305446250E-1,6.819818115E0,-5.987548828E-2,-3.876039734E0
8.403246250E-1,6.473438416E0,4.052073669E-1,-4.062102814E0
8.501066250E-1,6.115083618E0,-4.510121155E-1,-3.246299286E0
8.598726250E-1,5.864205322E0,-8.041278076E-1,-2.765499115E0
8.696686250E-1,5.945635986E0,-8.360115051E-1,-2.134561157E0
8.794336250E-1,6.278094635E0,-9.424401855E-1,-1.172960815E0
8.892306250E-1,6.806645508E0,-4.357438660E-1,-8.894503784E-1
8.989876250E-1,5.578299866E0,6.975494385E-1,-1.229842529E0
9.087616250E-1,3.719016266E0,1.493594055E0,-9.131011963E-1
9.185576250E-1,2.408940582E0,2.277064819E0,-1.364562378E0
9.283246250E-1,2.254162445E0,3.328328705E0,-2.523302765E0
9.381206250E-1,2.107766876E0,3.366050262E0,-3.271596680E0
9.478876250E-1,-2.160008240E-1,6.388864288E0,-2.735561371E0
9.576616250E-1,1.003737717E1,7.254514160E0,3.714824982E0
9.674466250E-1,1.106573868E1,5.426066437E0,1.394649811E0
9.772126250E-1,4.170178070E0,4.643793182E0,-1.598974915E0
9.870086250E-1,1.148860931E0,6.021977234E0,-2.503094788E0
9.967746250E-1,-2.003583527E0,5.464536438E0,-2.703977051E0
1.006570625E0,-1.631906433E0,5.019811249E0,-4.673132172E0
1.016329625E0,5.510041809E-1,6.009253693E0,-5.674100647E0
1.026131625E0,1.739682312E0,6.430627441E0,-6.473737793E0
1.035898625E0,2.429597626E0,5.576353912E0,-6.625671844E0
1.045663625E0,1.211281128E0,4.581223297E0,-5.921685791E0
1.055459625E0,-2.179767151E0,4.916975098E0,-5.387596436E0
1.065226625E0,-5.482798462E0,5.511987762E0,-5.955365753E0
1.075003625E0,-6.503974915E0,6.921905823E0,-7.095544739E0
1.084786625E0,-5.486390991E0,8.313861237E0,-8.346942444E0
1.094582625E0,-4.990023193E0,9.676627350E0,-8.705746307E0
1.104348625E0,-4.887935486E0,1.030112869E1,-1.005773483E1
1.114114625E0,-5.370232544E0,9.940528564E0,-1.039094193E1
1.123910625E0,-5.204377441E0,9.707912292E0,-8.650960236E0
1.133666625E0,-4.520599365E0,1.050515442E1,-5.741909637E0
1.143472625E0,-4.714446259E0,1.097906891E1,-2.023043060E0
1.153237625E0,-6.749314728E0,1.132754425E1,5.182223511E-1
1.163003625E0,-1.033106644E1,1.315733917E1,7.604187012E-2
1.172793625E0,-1.131661697E1,1.392314667E1,-2.770738220E-1
1.182559625E0,-9.889634399E0,1.365520386E1,1.826202393E-1
1.192351625E0,-7.989186401E0,1.363634308E1,1.754351807E-1
1.202120625E0,-6.746470642E0,1.376103378E1,-7.840695190E-1
1.211917625E0,-6.114335175E0,1.352153183E1,-1.883383484E0
1.221683625E0,-4.822072449E0,1.315389633E1,-2.493365021E0
1.231479625E0,-3.864364014E0,1.337588470E1,-1.831591187E0
1.241243625E0,-2.601140900E0,1.355566086E1,-1.861977997E0
1.251010625E0,-5.872288513E-1,1.334519852E1,-1.391805725E0
1.260805625E0,1.676214294E0,1.254241791E1,-7.164102173E-1
1.270572625E0,3.236419830E0,1.160596527E1,-1.081051941E0
1.280368625E0,4.493505707E0,1.090287735E1,-1.129251709E0
1.290134625E0,5.868396606E0,1.031519943E1,-7.512876892E-1
1.299906625E0,7.197333069E0,9.729317780E0,-4.879852295E-1
1.309701625E0,7.486531677E0,1.017793488E1,-1.631756744E0
1.319466625E0,6.053860931E0,1.313533493E1,-1.556463318E0
1.329263625E0,1.059646454E0,2.164439026E1,2.568538696E1
1.339028625E0,1.909579010E0,2.003852966E1,1.904235123E1
1.348824625E0,4.181404724E0,1.298684372E1,9.600435791E0
1.358590625E0,2.822979584E0,9.536369019E0,6.208190002E0
1.368386625E0,2.803370361E0,6.616391144E0,4.054169312E0
1.378152625E0,3.310066681E0,5.795797577E0,3.298989716E0
1.387917625E0,5.076094208E0,5.591771851E0,1.914967804E0
1.397714625E0,5.182822266E0,6.371201019E0,8.848100281E-1
1.407493625E0,4.832400970E0,6.683451691E0,2.308200073E-1
1.417275625E0,6.562353516E0,5.177283783E0,-3.980223083E-1
1.427041625E0,5.473068695E0,5.636977844E0,1.161734161E0
1.436837625E0,3.976780243E0,6.610852661E0,3.101101227E0
1.446604625E0,3.656296692E0,7.750283203E0,2.349065094E0
1.456368625E0,4.101920013E0,8.077203369E0,2.267335052E0
1.466164625E0,4.282743988E0,7.862400055E0,2.524649963E0
1.475946625E0,3.700754242E0,8.053253174E0,3.063529358E0
1.485726625E0,3.780688019E0,8.394094391E0,3.608096924E0
1.495492625E0,4.585713959E0,7.417225800E0,4.037703552E0
1.505288625E0,4.797074432E0,5.685626678E0,3.897445221E0
1.515054625E0,4.749024353E0,4.010460205E0,2.616409149E0
1.524819625E0,5.363047485E0,3.376827850E0,1.315314789E0
1.534615625E0,5.125341797E0,3.643423462E0,1.090632019E0
1.544381625E0,2.878663788E0,4.912334747E0,1.953437805E0
1.554177625E0,4.595443726E-2,7.316185913E0,2.536325684E0
1.563943625E0,-2.976859589E0,1.109402985E1,2.962040405E0
1.573708625E0,-3.362757111E0,1.327304855E1,3.553759918E0
1.583505625E0,-1.660047913E-1,1.225157272E1,3.741768951E0
1.593278625E0,2.016307068E-1,1.315554291E1,2.938090210E0
1.603066625E0,-3.278182983E-2,1.433718567E1,2.726879425E0
1.612832625E0,1.086291046E0,1.428973434E1,2.517764282E0
1.622598625E0,7.873626709E-1,1.440424622E1,1.936522980E0
1.632380625E0,-3.522175598E-1,1.460617630E1,1.626367950E0
1.642172625E0,-1.338217163E-1,1.481633926E1,1.787433014E0
1.651946625E0,1.639540558E0,1.319805450E1,1.880689087E0
1.661726625E0,3.039878540E0,9.437724152E0,1.594484253E0
1.671517625E0,2.694846039E0,8.530311127E0,1.395248566E0
1.681269625E0,1.786834259E0,8.765472107E0,1.783840485E0
1.691048625E0,7.849676514E-1,9.265881500E0,2.222578125E0
1.700828625E0,-1.103205872E-1,9.032067719E0,2.137405243E0
1.710598625E0,-3.486250305E-1,8.425529022E0,2.415676575E0
1.720380625E0,-3.472778320E-2,8.003706207E0,2.171534271E0
1.730160625E0,-6.735992432E-3,7.670648804E0,2.183060303E0
1.739942625E0,-6.063890076E-1,7.633076935E0,2.237397308E0
1.749734625E0,-1.234482880E0,8.459059296E0,2.705024872E0
