"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.087946250E-1,2.090229653E-2,4.854286835E-2,3.445437178E-2
1.194756250E-1,-1.125324331E-2,5.782984570E-2,3.481949121E-2
1.301566250E-1,-3.262644261E-2,5.130722746E-2,2.774400450E-2
1.408376250E-1,-5.032208562E-2,3.134417534E-2,1.817766391E-2
1.515186250E-1,-5.497835577E-2,1.034168713E-2,4.814987071E-3
1.621746250E-1,-7.264374197E-2,-1.451513730E-2,-5.973570980E-3
1.728686250E-1,-8.686076850E-2,-2.089793608E-2,-9.476159699E-3
1.835616250E-1,-8.804640174E-2,-1.596749201E-2,-3.370759077E-3
1.942426250E-1,-6.321064383E-2,-1.192381606E-2,-9.725693613E-3
2.049166250E-1,-3.722946346E-2,-4.179879092E-3,-1.608990133E-2
2.156056250E-1,-5.583385471E-3,1.702421159E-2,-3.832223639E-2
2.262866250E-1,9.527123533E-3,3.925974295E-2,-4.941669852E-2
2.369616250E-1,1.167949196E-2,5.889096856E-2,-5.185136199E-2
2.476426250E-1,1.303211134E-2,5.780013651E-2,-3.482710198E-2
2.583236250E-1,3.287795989E-4,4.429742321E-2,-6.732556503E-3
2.690116250E-1,-2.409080975E-2,1.958115771E-2,2.271907404E-2
2.796926250E-1,-6.442855299E-2,2.516792528E-2,3.895739466E-2
2.903736250E-1,-1.024422497E-1,3.318297863E-2,4.668855295E-2
3.010546250E-1,-1.154239774E-1,3.550882265E-2,6.020793691E-2
3.117366250E-1,-1.151817366E-1,3.199746087E-2,8.453465253E-2
3.224176250E-1,-1.056072041E-1,4.950615019E-2,1.136542335E-1
3.330986250E-1,-1.258160770E-1,7.756681740E-2,1.431223750E-1
3.437796250E-1,-1.565999836E-1,1.215877756E-1,2.031519413E-1
3.544596250E-1,-1.658792347E-1,1.635914147E-1,2.751174867E-1
3.651406250E-1,-1.810933352E-1,2.129104882E-1,3.556773067E-1
3.758226250E-1,-1.906737983E-1,2.596265972E-1,3.996567428E-1
3.865046250E-1,-2.108216733E-1,2.827931941E-1,4.303355515E-1
3.971806250E-1,-2.324990630E-1,3.340879381E-1,4.549786747E-1
4.078666250E-1,-2.452478856E-1,4.283324182E-1,4.649687409E-1
4.185476250E-1,-2.171687782E-1,4.704708755E-1,4.659268856E-1
4.292286250E-1,-1.624437720E-1,4.677731693E-1,4.690396488E-1
4.399096250E-1,-1.497116983E-1,4.677364528E-1,4.323841333E-1
4.505916250E-1,-2.018925995E-1,7.368904352E-1,4.819663167E-1
4.612586250E-1,-1.244204491E-1,9.239791036E-1,5.933162570E-1
4.719426250E-1,2.465919591E-2,9.454120994E-1,6.878570318E-1
4.826346250E-1,1.622042656E-1,9.894961715E-1,7.143900990E-1
4.933156250E-1,2.960169315E-1,1.004987478E0,6.898088455E-1
5.039966250E-1,6.008916497E-1,9.208063483E-1,5.585483313E-1
5.146706250E-1,1.399366379E0,4.456260800E-1,3.325331211E-1
5.253596250E-1,1.661987901E0,8.664500117E-1,3.021478057E-1
5.360406250E-1,1.467323065E0,1.285559177E0,3.924270272E-1
5.467156250E-1,1.175797820E0,1.281246781E0,4.552733302E-1
5.574026250E-1,1.022498250E0,1.043290138E0,4.372029603E-1
5.680836250E-1,1.069242597E0,7.595974207E-1,4.266129136E-1
5.787646250E-1,9.807505608E-1,8.161011934E-1,2.913309932E-1
5.894456250E-1,7.601851821E-1,9.731230140E-1,1.101531908E-1
6.001136250E-1,5.555557609E-1,7.724178433E-1,1.048639789E-1
6.108086250E-1,5.385347605E-1,5.163570046E-1,1.656050533E-1
6.214796250E-1,5.772177577E-1,5.570149422E-1,2.869450748E-1
6.321766250E-1,4.807581007E-1,7.704953551E-1,3.673778176E-1
6.428516250E-1,3.912210763E-1,1.026287198E0,3.418904841E-1
6.535326250E-1,3.744517267E-1,1.179409623E0,3.678182065E-1
6.642136250E-1,3.159165680E-1,1.186842799E0,3.380421698E-1
6.748956250E-1,1.728542596E-1,1.119870305E0,2.007796019E-1
6.855766250E-1,1.243740767E-1,1.068595648E0,1.659542471E-1
6.962576250E-1,-8.079576306E-3,7.885959148E-1,4.171006754E-2
7.069386250E-1,-2.563429177E-1,4.667249322E-1,-1.981576532E-1
7.176196250E-1,-4.283021688E-1,3.224140704E-1,-4.666490257E-1
7.282906250E-1,-4.672306478E-1,2.572260201E-1,-7.742433548E-1
7.389706250E-1,-5.318474174E-1,1.882368028E-1,-1.037741303E0
7.496726250E-1,-7.139500976E-1,1.371483505E-1,-1.271929026E0
7.603446250E-1,-8.580510616E-1,1.126172096E-1,-1.476074219E0
7.710256250E-1,-9.367170930E-1,1.575284898E-1,-1.719806790E0
7.817066250E-1,-1.015381217E0,2.484946847E-1,-2.042600870E0
7.923876250E-1,-1.095377207E0,3.751487434E-1,-2.340994120E0
8.030696250E-1,-1.231347322E0,5.254711509E-1,-2.630222797E0
8.137506250E-1,-1.369781375E0,6.382794380E-1,-2.840352535E0
8.244316250E-1,-1.445421219E0,7.454743385E-1,-2.941634655E0
8.351126250E-1,-1.179470301E0,6.724907160E-1,-2.768159628E0
8.457936250E-1,-1.006453514E0,4.537831247E-1,-2.530541658E0
8.564906250E-1,-1.202649593E0,3.274078369E-1,-2.438461304E0
8.671626250E-1,-1.458027363E0,2.684944570E-1,-2.379729509E0
8.778336250E-1,-1.575023890E0,3.698701262E-1,-2.333285093E0
8.885186250E-1,-1.619699955E0,6.812539101E-1,-2.588029146E0
8.991996250E-1,-1.710740566E0,1.050603271E0,-3.045461655E0
9.098806250E-1,-1.700269341E0,1.862781405E0,-3.333079815E0
9.205616250E-1,-1.600456715E0,2.920641422E0,-3.575136423E0
9.312426250E-1,-1.557455182E0,3.656766653E0,-3.765829563E0
9.419246250E-1,-1.328764677E0,4.011405945E0,-3.158120394E0
9.526046250E-1,-3.958785906E-2,3.499417782E0,-2.742045164E0
9.632866250E-1,1.691593647E0,1.385914087E0,-4.242491722E0
9.739766250E-1,2.386953115E0,1.592397571E0,-5.120182991E0
9.846486250E-1,3.201894522E0,1.265218377E0,-5.065035820E0
9.953226250E-1,3.461371422E0,-2.828536034E-1,-4.970035553E0
1.006010625E0,2.892769098E0,-7.770187855E-1,-4.714842796E0
1.016692625E0,1.813581109E0,4.559784234E-1,-3.944408178E0
1.027372625E0,6.718147397E-1,1.831842780E0,-3.103735447E0
1.038054625E0,-4.578971565E-1,1.535204411E0,-2.558527231E0
1.048735625E0,-1.408685327E0,6.996976137E-1,-2.009845257E0
1.059416625E0,-1.811688662E0,4.355237484E-1,-1.304629803E0
1.070097625E0,-1.836178660E0,8.089625835E-1,-5.699586868E-1
1.080779625E0,-1.608139873E0,1.370432496E0,-1.944764405E-1
1.091475625E0,-1.468470573E0,1.985863566E0,-3.376908898E-1
1.102147625E0,-1.464328051E0,2.729721069E0,-7.458211184E-1
1.112822625E0,-1.652726412E0,3.134546518E0,-1.160755515E0
1.123501625E0,-2.100941896E0,3.348987341E0,-1.368570447E0
1.134185625E0,-2.610758066E0,3.705442905E0,-1.267592907E0
1.144865625E0,-2.732867479E0,3.878812790E0,-1.442532182E0
1.155547625E0,-2.498193979E0,3.836610317E0,-1.541323185E0
1.166228625E0,-1.951360106E0,4.010225296E0,-1.283010483E0
1.176901625E0,-1.267404675E0,4.362937927E0,-1.155014634E0
1.187585625E0,-5.406591296E-1,4.638048172E0,-1.373260140E0
1.198265625E0,1.683017612E-1,4.366805077E0,-1.680814505E0
1.208975625E0,5.926658511E-1,3.824255228E0,-1.723866105E0
1.219656625E0,6.135053635E-1,3.238402605E0,-1.394939065E0
1.230308625E0,2.574261427E-1,2.942100286E0,-6.586320996E-1
1.240990625E0,-2.087108642E-1,2.696677923E0,4.404482841E-1
1.251701625E0,-5.290297270E-1,2.291305065E0,1.462267756E0
1.262383625E0,-8.064303994E-1,1.959459305E0,2.191580296E0
1.273063625E0,-1.118324161E0,2.031419277E0,2.714833975E0
1.283744625E0,-1.280298233E0,1.793575287E0,2.919602156E0
1.294426625E0,-1.343477368E0,1.259867668E0,2.814985037E0
1.305083625E0,-2.498194933E0,9.186915159E-1,2.251569033E0
1.315779625E0,-5.000219345E0,2.693768442E-1,1.401978374E0
1.326444625E0,-3.032256603E0,-9.599925578E-2,1.009853125E0
1.337126625E0,2.009265870E-1,8.815464973E-1,1.138519406E0
1.347807625E0,7.671819925E-1,9.197693467E-1,8.961981535E-1
1.358488625E0,3.073199391E-1,9.018883854E-2,5.838077068E-1
1.369170625E0,-5.195241421E-2,-5.592821240E-1,5.675150156E-1
1.379851625E0,-1.192568839E-1,-7.654717565E-1,5.083688498E-1
1.390532625E0,-2.344995886E-1,-5.572429299E-1,2.128951401E-1
1.401215625E0,-4.275400043E-1,-4.955921769E-1,-1.841394454E-1
1.411894625E0,-4.593211114E-1,-1.982294768E-1,-7.360327244E-1
1.422575625E0,-2.267597616E-1,7.820451856E-1,-1.356967688E0
1.433267625E0,-1.499623712E-2,1.178559422E0,-1.786055446E0
1.443962625E0,-1.091163382E-1,7.311083674E-1,-1.931613207E0
1.454649625E0,-2.369970083E-1,5.955532789E-1,-1.912109017E0
1.465331625E0,-2.646906376E-1,7.643780112E-1,-1.894562602E0
1.476012625E0,-2.340152413E-1,7.956070304E-1,-1.881474257E0
1.486693625E0,-1.637623906E-1,3.718454242E-1,-1.814590812E0
1.497374625E0,-1.312907338E-1,-1.474696696E-1,-1.831390262E0
1.508055625E0,-1.484215111E-1,-4.316630363E-1,-1.945954680E0
1.518722625E0,-1.423058361E-1,-4.298398197E-1,-2.055565596E0
1.529399625E0,-1.385854185E-1,-1.395907700E-1,-2.103947878E0
1.540098625E0,-2.519415319E-1,4.116516113E-1,-2.065527916E0
1.550763625E0,-3.237330914E-1,6.752591133E-1,-1.695619464E0
1.561460625E0,-1.907491982E-1,7.197391987E-1,-8.596142530E-1
1.572142625E0,-5.098963529E-2,7.522428632E-1,1.868731827E-1
1.582823625E0,-1.864523068E-2,4.556626379E-1,6.705993414E-1
1.593504625E0,-2.781178616E-2,3.241312802E-1,8.214732409E-1
1.604184625E0,-3.391487116E-4,1.962526739E-1,6.944321990E-1
1.614867625E0,8.819923550E-2,1.198577732E-1,4.182847738E-1
1.625548625E0,1.151339188E-1,1.932422370E-1,3.280046880E-1
1.636229625E0,1.586712748E-1,2.084771246E-1,3.007656038E-1
1.646910625E0,1.753418744E-1,7.786744833E-2,1.580169648E-1
1.657594625E0,9.104801714E-2,-7.010842860E-2,-1.382218897E-1
1.668262625E0,-4.215578083E-3,-1.891874224E-1,-3.016337454E-1
1.678930625E0,-6.191691384E-2,-2.601670027E-1,-3.278608322E-1
1.689622625E0,-1.262228936E-1,-3.098735213E-1,-2.724391520E-1
1.700316625E0,-1.861157864E-1,-2.942996323E-1,-1.804730296E-1
1.710997625E0,-2.295212448E-1,-1.781628579E-1,-1.214324012E-1
1.721678625E0,-2.771619856E-1,8.349964023E-2,-1.035556644E-1
1.732358625E0,-3.385358751E-1,2.773926556E-1,-1.050832495E-1
1.743040625E0,-3.479030132E-1,3.872576356E-1,3.390872478E-2
1.753722625E0,-3.594661951E-1,3.761842251E-1,5.593200028E-2
1.764403625E0,-4.091338813E-1,4.454032481E-1,-1.053229347E-1
1.775084625E0,-4.681915939E-1,4.058659375E-1,-3.773669600E-1
1.785768625E0,-4.852299094E-1,2.752453983E-1,-4.394111931E-1
1.796431625E0,-4.288403988E-1,1.227327883E-1,-2.856325507E-1
1.807127625E0,-3.527470827E-1,-4.125180095E-2,-6.512638181E-2
1.817809625E0,-2.855099142E-1,-1.449453980E-1,3.016654588E-2
1.828490625E0,-2.656373680E-1,-1.411490291E-1,-4.771550011E-4
1.839171625E0,-2.185486853E-1,-1.484519541E-1,7.689486444E-2
1.849852625E0,-1.679185331E-1,-3.141556978E-1,1.041350067E-1
1.860532625E0,-1.484449655E-1,-4.295824170E-1,2.588387765E-2
1.871214625E0,-1.799602807E-1,-4.873826206E-1,-1.101615727E-1
1.881895625E0,-2.309422344E-1,-4.519817531E-1,-1.923259497E-1
1.892577625E0,-2.924221158E-1,-3.619131148E-1,-3.229965866E-1
1.903239625E0,-3.542435765E-1,-1.597131342E-1,-3.646764457E-1
1.913934625E0,-3.561027348E-1,-7.661344111E-2,-2.136272639E-1
1.924620625E0,-3.121402860E-1,-9.635167569E-2,2.930010855E-2
1.935301625E0,-2.357879579E-1,-1.416492760E-1,1.792069525E-1
1.945982625E0,-1.726803184E-1,-1.951926351E-1,2.685192227E-1
1.956664625E0,-1.138079390E-1,-1.591440886E-1,3.847627342E-1
1.967345625E0,-2.268948406E-2,-1.907179952E-1,5.760354996E-1
1.978026625E0,9.203311056E-2,-2.093076557E-1,6.343917251E-1
1.988707625E0,1.552994251E-1,-1.944466829E-1,6.872685552E-1
1.999388625E0,1.770949960E-1,-1.764892489E-1,7.539945841E-1
2.010060625E0,1.765490472E-1,-1.735534370E-1,8.282515407E-1
2.020758625E0,1.847607046E-1,-2.034918517E-1,9.145448208E-1
2.031432625E0,2.201572210E-1,-2.329358160E-1,9.967774153E-1
2.042113625E0,2.878268957E-1,-2.939541042E-1,1.056818247E0
2.052804625E0,3.680011034E-1,-3.144244552E-1,1.100946665E0
2.063475625E0,4.389341474E-1,-3.644953370E-1,1.140272737E0
2.074156625E0,4.643079340E-1,-3.761091232E-1,1.175277591E0
2.084837625E0,4.499564469E-1,-3.208410740E-1,1.226622820E0
2.095518625E0,4.216342568E-1,-1.614934951E-1,1.295286298E0
2.106200625E0,4.066313207E-1,8.136628568E-2,1.355382323E0
2.116881625E0,3.960663080E-1,1.319216043E-1,1.426155090E0
2.127557625E0,3.490531445E-1,1.512766629E-1,1.502161622E0
2.138251625E0,2.730928659E-1,2.167595327E-1,1.580975175E0
2.148924625E0,2.456839383E-1,9.078780562E-2,1.690672517E0
2.159605625E0,2.118357271E-1,4.620972276E-2,1.705598235E0
2.170294625E0,8.192624897E-2,9.843993932E-2,1.581721783E0
2.180968625E0,-9.102629125E-2,2.032148689E-1,1.353704691E0
2.191649625E0,-2.139780521E-1,3.265458643E-1,1.029002547E0
2.202330625E0,-2.994865477E-1,4.266098738E-1,6.162238121E-1
2.213011625E0,-3.907789290E-1,4.321162403E-1,3.762349188E-1
2.223692625E0,-4.178861678E-1,3.506690562E-1,1.756024659E-1
2.234373625E0,-3.219953179E-1,2.272738665E-1,2.777962945E-3
2.245062625E0,-1.635199189E-1,1.305747032E-1,-1.792242825E-1
2.255727625E0,-5.037179962E-2,7.868327200E-2,-3.326788247E-1
2.266417625E0,5.332563445E-2,1.555869076E-2,-4.933457673E-1
2.277098625E0,1.590909809E-1,-2.182326652E-2,-6.588735580E-1
2.287779625E0,2.535405755E-1,-1.009678543E-1,-8.097203374E-1
2.298469625E0,3.134720922E-1,-1.547991186E-1,-9.406821132E-1
2.309139625E0,3.352813423E-1,-1.673510373E-1,-1.038311362E0
2.319823625E0,3.700648844E-1,-1.476452500E-1,-1.109266996E0
2.330504625E0,4.038670659E-1,-1.265679300E-1,-1.155866742E0
