"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.087946250E-1,0.000000000E0,0.000000000E0,0.000000000E0
1.194756250E-1,0.000000000E0,0.000000000E0,0.000000000E0
1.301566250E-1,0.000000000E0,0.000000000E0,0.000000000E0
1.408376250E-1,0.000000000E0,0.000000000E0,0.000000000E0
1.515186250E-1,0.000000000E0,0.000000000E0,0.000000000E0
1.621746250E-1,0.000000000E0,0.000000000E0,0.000000000E0
1.728686250E-1,0.000000000E0,0.000000000E0,0.000000000E0
1.835616250E-1,0.000000000E0,0.000000000E0,0.000000000E0
1.942426250E-1,0.000000000E0,0.000000000E0,0.000000000E0
2.049166250E-1,-6.907086372E0,-1.577916527E1,3.608839798E1
2.156056250E-1,-6.907086372E0,-1.577916527E1,3.608839798E1
2.262866250E-1,-6.903524399E0,-1.579148483E1,3.608369446E1
2.369616250E-1,-6.904902458E0,-1.579493523E1,3.608191299E1
2.476426250E-1,-6.913639069E0,-1.579512119E1,3.608015823E1
2.583236250E-1,-6.944745064E0,-1.579146576E1,3.607579422E1
2.690116250E-1,-6.944745064E0,-1.579146576E1,3.607579422E1
2.796926250E-1,-6.946504593E0,-1.593908405E1,3.601047134E1
2.903736250E-1,-6.946504593E0,-1.593908405E1,3.601047134E1
3.010546250E-1,-6.947816849E0,-1.599957657E1,3.598338699E1
3.117366250E-1,-6.952416420E0,-1.606605148E1,3.595286560E1
3.224176250E-1,-6.971669197E0,-1.612620926E1,3.592218399E1
3.330986250E-1,-6.995291710E0,-1.617687035E1,3.589480209E1
3.437796250E-1,-7.099514961E0,-1.624940109E1,3.584154510E1
3.544596250E-1,-7.099514961E0,-1.624940109E1,3.584154510E1
3.651406250E-1,-7.179930687E0,-1.629465103E1,3.580495834E1
3.758226250E-1,-7.298718452E0,-1.633660316E1,3.576180267E1
3.865046250E-1,-7.448925972E0,-1.637675095E1,3.571243286E1
3.971806250E-1,-7.810087204E0,-1.646418953E1,3.559487915E1
4.078666250E-1,-7.810087204E0,-1.646418953E1,3.559487915E1
4.185476250E-1,-8.026169777E0,-1.651574135E1,3.552285385E1
4.292286250E-1,-8.276087761E0,-1.656618118E1,3.544193268E1
4.399096250E-1,-8.614181519E0,-1.655631828E1,3.536589050E1
4.505916250E-1,-8.869017601E0,-1.657043457E1,3.529623032E1
4.612586250E-1,-9.142879486E0,-1.659135246E1,3.521643448E1
4.719426250E-1,-9.991726875E0,-1.658122444E1,3.498986816E1
4.826346250E-1,-9.991726875E0,-1.658122444E1,3.498986816E1
4.933156250E-1,-1.047065926E1,-1.648169327E1,3.489672852E1
5.039966250E-1,-1.096609592E1,-1.632711029E1,3.481713486E1
5.146706250E-1,-1.183629799E1,-1.576232338E1,3.479243469E1
5.253596250E-1,-1.183629799E1,-1.576232338E1,3.479243469E1
5.360406250E-1,-1.207055950E1,-1.516069984E1,3.497880554E1
5.467156250E-1,-1.249834156E1,-1.450863743E1,3.510489273E1
5.574026250E-1,-1.304913235E1,-1.392961693E1,3.513898087E1
5.680836250E-1,-1.357903194E1,-1.344381142E1,3.512742615E1
5.787646250E-1,-1.399973392E1,-1.299286461E1,3.513196945E1
5.894456250E-1,-1.434100342E1,-1.253179359E1,3.516179657E1
6.001136250E-1,-1.506069469E1,-1.186747074E1,3.509132385E1
6.108086250E-1,-1.533593941E1,-1.164687443E1,3.504599380E1
6.214796250E-1,-1.533593941E1,-1.164687443E1,3.504599380E1
6.321766250E-1,-1.554926777E1,-1.140756226E1,3.503070831E1
6.428516250E-1,-1.581400013E1,-1.114460278E1,3.499681854E1
6.535326250E-1,-1.616771126E1,-1.091375923E1,3.490784073E1
6.642136250E-1,-1.660760117E1,-1.070968723E1,3.476424789E1
6.748956250E-1,-1.708821487E1,-1.050803185E1,3.459243774E1
6.855766250E-1,-1.755471992E1,-1.034894371E1,3.440629578E1
6.962576250E-1,-1.798185921E1,-1.025692940E1,3.421273041E1
7.069386250E-1,-1.836621094E1,-1.019041443E1,3.402793503E1
7.176196250E-1,-1.861918640E1,-1.021763802E1,3.388197327E1
7.282906250E-1,-1.874143219E1,-1.038201714E1,3.376440048E1
7.389706250E-1,-1.877793884E1,-1.099129391E1,3.355059814E1
7.496726250E-1,-1.870980072E1,-1.141599655E1,3.344668579E1
7.603446250E-1,-1.858991432E1,-1.194907379E1,3.332711792E1
7.710256250E-1,-1.858991432E1,-1.194907379E1,3.332711792E1
7.817066250E-1,-1.843180084E1,-1.256359196E1,3.318866348E1
7.923876250E-1,-1.824730492E1,-1.325410175E1,3.302161407E1
8.030696250E-1,-1.803548431E1,-1.402763367E1,3.281782150E1
8.137506250E-1,-1.780698776E1,-1.488283730E1,3.256493378E1
8.244316250E-1,-1.755788994E1,-1.582901478E1,3.225252151E1
8.351126250E-1,-1.728421783E1,-1.684281540E1,3.188475800E1
8.457936250E-1,-1.699948120E1,-1.785088539E1,3.148691940E1
8.564906250E-1,-1.630521774E1,-1.949285698E1,3.087443352E1
8.671626250E-1,-1.630521774E1,-1.949285698E1,3.087443352E1
8.778336250E-1,-1.588924313E1,-2.032715416E1,3.055161667E1
8.885186250E-1,-1.545614910E1,-2.120722580E1,3.017322350E1
8.991996250E-1,-1.504872417E1,-2.209985352E1,2.973541260E1
9.098806250E-1,-1.463575554E1,-2.304638481E1,2.921850586E1
9.205616250E-1,-1.422478294E1,-2.405768013E1,2.859975433E1
9.312426250E-1,-1.397849846E1,-2.507462311E1,2.783751678E1
9.419246250E-1,-1.390167332E1,-2.608068657E1,2.693702698E1
9.526046250E-1,-1.391402435E1,-2.706312943E1,2.594319916E1
9.632866250E-1,-1.415109158E1,-2.779926109E1,2.502019119E1
9.739766250E-1,-1.295702171E1,-2.829560852E1,2.511048889E1
9.846486250E-1,-1.295702171E1,-2.829560852E1,2.511048889E1
9.953226250E-1,-1.058753395E1,-2.795150757E1,2.656463623E1
1.006010625E0,-8.967450142E0,-2.749507904E1,2.761644554E1
1.016692625E0,-8.967450142E0,-2.749507904E1,2.761644554E1
1.027372625E0,-7.481428623E0,-2.710284424E1,2.843459702E1
