"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.445591667E-2,-1.780697021E0,6.954837341E0,7.236102448E0
3.422091667E-2,-1.551673279E0,6.973249054E0,7.094347229E0
6.354691667E-2,-1.137634277E0,7.038064270E0,5.548212433E0
7.330691667E-2,-1.209335175E0,7.145540771E0,5.043013000E0
8.307191667E-2,-9.675878906E-1,7.152426453E0,4.978497162E0
9.283891667E-2,-7.638615417E-1,6.972799988E0,5.337899780E0
1.026049167E-1,-7.223977661E-1,6.690037994E0,5.686524811E0
1.123709167E-1,-6.800358582E-1,6.599775696E0,6.081104279E0
1.221359167E-1,-8.746311951E-1,6.439010010E0,6.963369598E0
1.319019167E-1,-1.266665955E0,6.402036896E0,8.609346771E0
1.416979167E-1,-8.921447754E-1,6.541846161E0,8.511749725E0
1.514639167E-1,-7.265890503E-1,6.495891724E0,7.974367218E0
1.612289167E-1,-8.508306885E-1,6.442752228E0,7.548353119E0
1.709939167E-1,-1.030606842E0,6.211932220E0,6.897207184E0
1.807609167E-1,-1.072968750E0,6.107599182E0,6.380332031E0
1.905259167E-1,-1.386716309E0,5.933810577E0,6.352789307E0
2.002909167E-1,-2.256407776E0,5.798192596E0,6.582411804E0
2.100629167E-1,-2.980452118E0,5.861361237E0,7.115303650E0
2.198589167E-1,-3.144660645E0,5.657185822E0,7.690108337E0
2.296249167E-1,-1.223705292E0,5.786367188E0,7.557933197E0
2.393899167E-1,4.285588074E-1,5.619314575E0,7.292535095E0
2.491559167E-1,8.467890930E-1,4.919819183E0,7.337292023E0
2.589229167E-1,-7.229965210E-2,4.845423889E0,6.963968353E0
2.686919167E-1,-7.396119690E-1,5.331762543E0,6.518195343E0
2.784529167E-1,-7.554789734E-1,5.683830414E0,6.448590088E0
2.882199167E-1,-9.066645813E-1,5.293591919E0,6.248605957E0
2.980149167E-1,-1.393452301E0,4.798571320E0,6.435866547E0
3.077799167E-1,-2.154469757E0,4.749473419E0,6.406826935E0
3.175369167E-1,-4.308939514E0,5.226531372E0,1.926942902E0
3.273189167E-1,-3.517684937E0,5.470973053E0,5.207670593E-1
3.370769167E-1,-1.824855194E0,4.728666687E0,-1.292711792E0
3.468559167E-1,1.059496765E0,3.251239014E0,2.189347229E0
3.566209167E-1,2.930605774E0,1.830243988E0,1.113414642E1
3.663939167E-1,1.652413788E0,1.721869354E0,1.831890564E1
3.761579167E-1,1.700314178E0,2.705473938E0,1.573198517E1
