"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.602399167E-1,1.124570519E-1,1.063009620E0,6.706992984E-1
2.709209167E-1,1.498643458E-1,1.154053211E0,4.452185035E-1
2.816029167E-1,-2.523529902E-2,1.156974435E0,3.899427056E-1
2.922839167E-1,-3.156248033E-1,1.256743073E0,4.334257841E-1
3.029649167E-1,-5.958508253E-1,1.800742745E0,5.272302628E-1
3.136449167E-1,-8.376898170E-1,2.534437656E0,6.520466805E-1
3.243259167E-1,-1.627268076E0,4.210881233E0,8.562685251E-1
3.350059167E-1,-2.635756016E0,3.535541773E0,1.114871621E0
3.456969167E-1,-3.526750565E0,2.244441658E-1,1.405556321E0
3.563709167E-1,-4.081003666E0,-2.344735898E-2,1.424752712E0
3.670519167E-1,-3.110000610E0,-6.483503580E-1,9.349669814E-1
3.777329167E-1,-1.064084053E0,-1.363877535E0,2.311867476E-1
3.884189167E-1,-2.042540014E-1,-5.520874858E-1,-1.595064402E-1
3.990949167E-1,-5.813996792E-1,-1.621218920E-1,-3.204250336E-1
4.097759167E-1,-1.168164611E0,-4.486407340E-1,-1.317293942E-1
4.204579167E-1,-1.611349821E0,-8.114181161E-1,2.208302468E-1
4.311389167E-1,-1.846850157E0,-1.144609094E0,4.603754580E-1
4.418199167E-1,-1.993312120E0,-1.545884609E0,7.511976957E-1
4.525319167E-1,-2.160813332E0,-1.425515890E0,1.012443662E0
4.632039167E-1,-2.328242540E0,-1.018369913E0,1.080499291E0
4.738779167E-1,-2.550747156E0,-4.894725084E-1,9.740335941E-1
4.845749167E-1,-2.754223347E0,-5.583840422E-3,6.883800030E-1
4.952559167E-1,-2.822495222E0,2.799496353E-1,2.902384996E-1
5.059369167E-1,-2.730080605E0,3.342434764E-1,-6.612945348E-2
5.166179167E-1,-2.443324327E0,2.281291224E-2,-2.254562527E-1
5.272999167E-1,-2.093509197E0,-4.503602386E-1,-1.604927033E-1
5.379809167E-1,-1.857821465E0,-8.242155910E-1,3.219796112E-3
5.486619167E-1,-1.748685718E0,-1.055778742E0,1.222425923E-1
5.593429167E-1,-1.802950263E0,-1.021816015E0,2.007797509E-1
5.700109167E-1,-1.966458440E0,-7.962496281E-1,2.344950140E-1
5.807129167E-1,-2.084946632E0,-6.404243112E-1,1.775608808E-1
5.913779167E-1,-2.105518103E0,-6.814441681E-1,-4.257020727E-2
6.020849167E-1,-2.023207426E0,-7.099883556E-1,-2.966829538E-1
6.127489167E-1,-1.794296265E0,-7.209222317E-1,-4.720553160E-1
6.234299167E-1,-1.533395648E0,-6.634605527E-1,-5.783194304E-1
6.341109167E-1,-1.327027082E0,-4.953086078E-1,-6.801997423E-1
6.447919167E-1,-1.227797389E0,-5.224807858E-1,-7.689613104E-1
6.554729167E-1,-1.286671638E0,-5.539470911E-1,-7.488757372E-1
6.661549167E-1,-1.475062370E0,-3.250409961E-1,-7.051447630E-1
6.768359167E-1,-1.632187486E0,1.366882920E-1,-7.491173148E-1
6.875429167E-1,-1.660947204E0,4.980880320E-1,-8.944313526E-1
6.982099167E-1,-1.598411918E0,3.378975987E-1,-9.890332222E-1
7.089099167E-1,-1.563554049E0,1.071097106E-1,-9.410049915E-1
7.195909167E-1,-1.525065780E0,3.116913699E-2,-8.417109251E-1
7.302489167E-1,-1.433261156E0,7.122503221E-2,-7.562547326E-1
7.409519167E-1,-1.327758193E0,2.448383868E-1,-7.121740580E-1
7.516339167E-1,-1.241414785E0,4.739549458E-1,-7.542358041E-1
7.623149167E-1,-1.160092235E0,5.616368651E-1,-8.548350930E-1
7.729969167E-1,-1.131757736E0,6.734877825E-1,-8.781401515E-1
7.836779167E-1,-1.148267746E0,8.119857311E-1,-8.400609493E-1
7.943589167E-1,-1.223782539E0,9.522650838E-1,-7.587288022E-1
8.050429167E-1,-1.388606906E0,1.153892159E0,-6.349564791E-1
8.157209167E-1,-1.610790730E0,1.320971131E0,-5.897099376E-1
8.264019167E-1,-1.812612534E0,1.406119585E0,-7.492706180E-1
8.370839167E-1,-1.925415754E0,1.469221950E0,-9.390498400E-1
8.477649167E-1,-1.893438339E0,1.582783341E0,-1.082893372E0
8.584649167E-1,-1.834265351E0,1.479498506E0,-1.090970993E0
8.691409167E-1,-1.770333052E0,1.183795571E0,-9.216228724E-1
8.798079167E-1,-1.801088572E0,1.055102348E0,-6.597449183E-1
8.904889167E-1,-1.949759603E0,1.028325081E0,-4.524372220E-1
9.011699167E-1,-2.106616497E0,1.011744738E0,-3.509215117E-1
9.118649167E-1,-2.140493631E0,9.526808262E-1,-4.869426489E-1
9.225339167E-1,-2.041745663E0,9.736679196E-1,-7.058792114E-1
9.332439167E-1,-1.947609663E0,1.099661231E0,-7.907507420E-1
9.439259167E-1,-1.914821625E0,1.223359466E0,-7.021106482E-1
9.546069167E-1,-2.003394604E0,1.258971572E0,-4.759156108E-1
9.652879167E-1,-2.410843372E0,1.359672904E0,-3.751524985E-1
9.759689167E-1,-3.083366156E0,1.741344094E0,-5.097023249E-1
9.866499167E-1,-3.578501463E0,2.214643717E0,-7.544246912E-1
9.973169167E-1,-3.709286690E0,2.660384178E0,-1.055530190E0
1.008012917E0,-3.460703135E0,2.885997772E0,-1.283175945E0
1.018686917E0,-2.935013056E0,2.740795851E0,-1.359733224E0
1.029395417E0,-2.347738981E0,2.313458443E0,-1.248643041E0
1.040075417E0,-1.929533124E0,2.197450399E0,-1.096370459E0
1.050756417E0,-1.751252294E0,2.350271702E0,-1.038509846E0
1.061444417E0,-1.746707559E0,2.448998213E0,-9.495884776E-1
1.072125417E0,-1.781475902E0,2.285681248E0,-9.080163240E-1
1.082807417E0,-1.866054773E0,1.841765165E0,-9.136997461E-1
1.093488417E0,-1.965505719E0,1.335036993E0,-9.278144836E-1
1.104168417E0,-2.055366993E0,1.212466836E0,-8.916730285E-1
1.114874417E0,-2.119057178E0,1.330670953E0,-8.409267664E-1
1.125531417E0,-2.161216974E0,1.533681154E0,-8.085741401E-1
1.136243417E0,-2.253346920E0,1.677401781E0,-7.221862674E-1
1.146919417E0,-2.345007658E0,1.580285907E0,-7.249445319E-1
1.157604417E0,-2.328079939E0,1.560146809E0,-8.456552029E-1
1.168286417E0,-2.218613625E0,1.873160243E0,-8.623109460E-1
1.178967417E0,-2.045004368E0,2.319740057E0,-8.576046228E-1
1.189649417E0,-1.776912570E0,2.558042049E0,-8.833989501E-1
1.200330417E0,-1.434285998E0,2.664847612E0,-9.576404095E-1
1.211011417E0,-1.078403234E0,2.721375465E0,-1.067385912E0
1.221692417E0,-7.763664126E-1,2.792422056E0,-1.074278355E0
1.232373417E0,-5.606958866E-1,2.775486946E0,-1.013380170E0
1.243045417E0,-4.459253252E-1,2.557377338E0,-9.126609564E-1
1.253730417E0,-3.749057353E-1,2.278174639E0,-8.602201343E-1
1.264419417E0,-3.589139581E-1,2.045064449E0,-9.312701225E-1
1.275098417E0,-3.908793628E-1,1.745019317E0,-9.970030189E-1
1.285779417E0,-4.745936692E-1,1.431493163E0,-8.891187310E-1
1.296460417E0,-6.242534518E-1,1.288395405E0,-6.600295901E-1
1.307141417E0,-8.115836978E-1,1.312371850E0,-4.680591226E-1
1.317822417E0,-7.453333139E-1,1.494820476E0,-2.896465063E-1
1.328504417E0,-5.398898721E-1,1.870996594E0,-2.585967183E-1
1.339185417E0,-3.676038384E-1,2.270522594E0,-3.220936656E-1
1.349866417E0,-2.543001771E-1,2.654556274E0,-3.593989611E-1
1.360547417E0,-1.639465839E-1,3.015341282E0,-3.344033360E-1
1.371238417E0,-1.816823334E-1,3.155382872E0,-4.301983714E-1
1.381920417E0,-3.544780910E-1,3.181232929E0,-7.301243544E-1
1.392605417E0,-6.036180854E-1,3.231518984E0,-1.040135264E0
1.403302417E0,-7.857423425E-1,3.273043156E0,-1.171969771E0
1.413983417E0,-8.305801153E-1,3.179538727E0,-1.114380240E0
1.424664417E0,-8.165332675E-1,2.753855944E0,-8.302230835E-1
1.435346417E0,-7.318602204E-1,2.043375969E0,-4.120764136E-1
1.446027417E0,-5.125925541E-1,1.503194451E0,-1.510072649E-1
1.456708417E0,-8.018042892E-2,1.558013916E0,-3.358450234E-1
1.467389417E0,4.259296358E-1,1.340430498E0,-5.583340526E-1
1.478070417E0,7.402750254E-1,1.008302331E0,-5.792313218E-1
1.488744417E0,8.027622104E-1,6.892759800E-1,-5.961229801E-1
1.499433417E0,6.991817355E-1,4.458399415E-1,-6.378736496E-1
1.510126417E0,4.956433177E-1,3.837633133E-1,-6.284034848E-1
1.520795417E0,2.936191559E-1,6.589565873E-1,-5.954219103E-1
1.531476417E0,1.653307229E-1,1.025071383E0,-7.104219794E-1
1.542157417E0,7.933618128E-2,1.250386596E0,-9.039546847E-1
1.552838417E0,-3.452247754E-2,1.175765634E0,-9.721689224E-1
1.563518417E0,-1.454732269E-1,6.712409258E-1,-8.108811975E-1
1.574201417E0,-2.435404062E-1,1.034499556E-1,-6.096439958E-1
1.584882417E0,-2.690790594E-1,-1.701922566E-1,-5.914311409E-1
1.595564417E0,-2.258828878E-1,-1.613905132E-1,-6.637098193E-1
1.606251417E0,-1.453792155E-1,-1.914921999E-1,-5.940359235E-1
1.616956417E0,-8.004464209E-2,-4.339061379E-1,-3.406546116E-1
1.627637417E0,-4.146822542E-2,-7.594514489E-1,1.151356660E-2
1.638323417E0,-2.849987336E-2,-8.987048864E-1,2.375993431E-1
1.648999417E0,-6.233822927E-2,-9.086940885E-1,2.927328944E-1
1.659668417E0,-1.270034760E-1,-8.866828084E-1,2.581729889E-1
1.670362417E0,-2.211406231E-1,-8.662278652E-1,2.458449602E-1
1.681042417E0,-3.195630610E-1,-8.578495383E-1,2.712821364E-1
1.691724417E0,-3.568979204E-1,-8.592016101E-1,3.435049355E-1
1.702405417E0,-3.188243210E-1,-8.375301361E-1,3.759752512E-1
1.713076417E0,-2.287203372E-1,-7.333022952E-1,3.458949625E-1
1.723781417E0,-1.298249066E-1,-6.458675265E-1,3.497789204E-1
1.734448417E0,-5.754959211E-2,-7.143277526E-1,3.854167461E-1
1.745130417E0,-3.787442297E-2,-7.913154960E-1,3.729366362E-1
1.755811417E0,-7.761624455E-2,-7.960790992E-1,3.064239323E-1
1.766492417E0,-1.512561142E-1,-7.425926924E-1,2.342679799E-1
1.777168417E0,-2.090315372E-1,-7.058146596E-1,1.911253780E-1
1.787854417E0,-2.401284277E-1,-7.237768173E-1,1.464108676E-1
1.798535417E0,-2.642361820E-1,-7.392553687E-1,8.945064247E-2
1.809216417E0,-2.781962156E-1,-7.837304473E-1,7.129374146E-2
1.819928417E0,-2.715950310E-1,-8.498244882E-1,6.992514431E-2
1.830608417E0,-2.494480163E-1,-8.361849785E-1,3.926802799E-2
1.841290417E0,-2.012408078E-1,-7.291828990E-1,-2.442838997E-2
1.851972417E0,-1.049071699E-1,-6.320381761E-1,-2.903293259E-2
1.862653417E0,-1.898187585E-2,-6.192062497E-1,3.211218119E-2
1.873334417E0,2.558931895E-2,-6.427112818E-1,7.541171461E-2
1.884015417E0,2.807964198E-2,-6.561709046E-1,7.293391228E-2
1.894696417E0,-9.251108277E-4,-6.249061823E-1,5.259854719E-2
1.905358417E0,-3.280527890E-2,-5.360112190E-1,4.210089892E-2
1.916057417E0,-3.052295186E-2,-4.257664680E-1,2.516665682E-2
1.926740417E0,-1.663163677E-2,-3.229394257E-1,-2.963667177E-2
1.937421417E0,-2.871812694E-2,-2.537736893E-1,-1.061032191E-1
1.948109417E0,-7.785603404E-2,-2.104466259E-1,-1.067280471E-1
1.958783417E0,-1.239684075E-1,-1.974653155E-1,-6.968960166E-2
1.969464417E0,-1.367124319E-1,-2.134932876E-1,-5.252792314E-2
1.980145417E0,-1.458345503E-1,-2.590594590E-1,-6.221916899E-2
1.990827417E0,-1.333941221E-1,-3.177206516E-1,-6.607756019E-2
2.001508417E0,-1.330777407E-1,-4.154069722E-1,-1.020736713E-2
2.012189417E0,-1.930822283E-1,-5.299543142E-1,5.360996351E-2
2.022870417E0,-2.801539898E-1,-6.608175039E-1,1.262261122E-1
2.033551417E0,-3.155937493E-1,-7.530089617E-1,1.739763170E-1
2.044258417E0,-2.486014068E-1,-7.552569509E-1,2.255745232E-1
2.054924417E0,-1.050683856E-1,-7.085676193E-1,2.605646551E-1
2.065605417E0,4.608920962E-2,-6.301515698E-1,2.553421855E-1
2.076306417E0,1.460224688E-1,-5.539260507E-1,2.299891412E-1
2.086987417E0,1.329101324E-1,-5.640572906E-1,2.130810022E-1
2.097669417E0,7.824768126E-2,-6.332610846E-1,2.622874379E-1
2.108350417E0,2.695759758E-2,-6.827898026E-1,3.126973510E-1
2.119031417E0,4.330674186E-2,-6.580260992E-1,3.101125062E-1
2.129712417E0,1.196334660E-1,-6.129558086E-1,2.655074596E-1
2.140393417E0,1.666981876E-1,-5.964543819E-1,2.357967049E-1
2.151076417E0,2.062642425E-1,-6.078793406E-1,2.645596564E-1
2.161747417E0,2.541529834E-1,-6.450969577E-1,2.652048767E-1
2.172447417E0,3.037786484E-1,-6.543521881E-1,2.269150019E-1
2.183118417E0,3.579537272E-1,-6.192197800E-1,2.166229486E-1
2.193798417E0,4.053577781E-1,-5.777606964E-1,2.526655793E-1
2.204480417E0,4.410198927E-1,-5.191040039E-1,3.229389489E-1
2.215161417E0,4.784807265E-1,-4.040320516E-1,3.932597339E-1
2.225842417E0,4.845652282E-1,-2.515562177E-1,4.505816102E-1
2.236524417E0,4.786980450E-1,-1.055073962E-1,4.922041595E-1
2.247205417E0,4.713557065E-1,6.871073693E-2,5.338764787E-1
2.257886417E0,4.530392885E-1,1.483174115E-1,5.682539344E-1
2.268567417E0,4.412148595E-1,1.617474705E-1,5.890920758E-1
2.279279417E0,4.690921903E-1,1.640708447E-1,5.923159122E-1
2.289946417E0,4.831583202E-1,1.691045761E-1,5.775606036E-1
2.300618417E0,4.602697790E-1,1.796054244E-1,5.534816384E-1
2.311322417E0,4.139167070E-1,1.590583920E-1,5.259724259E-1
2.322003417E0,3.646703362E-1,6.115100533E-2,4.850141108E-1
2.332685417E0,3.168469071E-1,-4.149920866E-2,4.647264183E-1
2.343366417E0,2.603772283E-1,-8.772502840E-2,4.713789821E-1
2.354047417E0,1.756788492E-1,-1.280354261E-1,5.148646832E-1
2.364728417E0,5.307783186E-2,-1.701272279E-1,5.672857761E-1
2.375409417E0,-6.366129965E-2,-2.307050824E-1,5.904081464E-1
2.386090417E0,-1.476592571E-1,-3.170612752E-1,5.279370546E-1
2.396784417E0,-2.369776517E-1,-3.755200207E-1,4.339109659E-1
2.407450417E0,-3.179664910E-1,-3.980138302E-1,3.824373782E-1
2.418139417E0,-3.722245991E-1,-4.196234941E-1,3.988322616E-1
2.428817417E0,-4.296717644E-1,-4.558953345E-1,4.359264076E-1
2.439496417E0,-4.720796943E-1,-4.686846435E-1,4.595044255E-1
2.450177417E0,-5.013065338E-1,-4.178270400E-1,4.367605150E-1
2.460858417E0,-5.344479680E-1,-3.561783433E-1,3.872946799E-1
2.471539417E0,-5.565005541E-1,-3.360435069E-1,3.352229595E-1
2.482221417E0,-5.864744186E-1,-3.466247916E-1,2.917220891E-1
2.492902417E0,-6.006222367E-1,-3.727160394E-1,2.735891640E-1
2.503583417E0,-5.717016459E-1,-4.065144658E-1,2.817506790E-1
2.514292417E0,-5.385007858E-1,-4.072441459E-1,2.752981186E-1
2.524967417E0,-5.166585445E-1,-3.777794838E-1,2.288400680E-1
2.535657417E0,-5.282462239E-1,-3.477581143E-1,1.632759273E-1
2.546338417E0,-5.667195320E-1,-3.561462760E-1,1.016136259E-1
2.556995417E0,-5.861522555E-1,-3.580723107E-1,4.945103824E-2
2.567700417E0,-5.610758662E-1,-3.287977576E-1,-3.355813026E-2
2.578382417E0,-5.071535110E-1,-2.366875261E-1,-1.387191713E-1
2.589063417E0,-4.458340108E-1,-1.195542514E-1,-1.855074465E-1
2.599744417E0,-4.391438663E-1,2.632572316E-2,-2.000134140E-1
2.610425417E0,-4.967032969E-1,1.685952544E-1,-2.320738733E-1
2.621106417E0,-5.873109698E-1,2.783635557E-1,-2.784152925E-1
2.631783417E0,-6.273665428E-1,3.388204575E-1,-3.058974445E-1
2.642468417E0,-6.013408303E-1,3.354664743E-1,-3.207940757E-1
2.653150417E0,-5.608676672E-1,3.040881157E-1,-3.456206620E-1
2.663831417E0,-5.235828757E-1,2.544087172E-1,-3.497419059E-1
2.674511417E0,-5.023190975E-1,1.629230082E-1,-3.342617452E-1
