"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.845749167E-1,-1.614275360E1,-1.789047241E1,-3.818279648E1
4.952559167E-1,-1.633575630E1,-1.664569283E1,-3.866067505E1
5.059369167E-1,-1.631085205E1,-1.540788364E1,-3.918081665E1
5.166179167E-1,-1.617230606E1,-1.424045277E1,-3.967681503E1
5.272999167E-1,-1.608873177E1,-1.319960213E1,-4.006877518E1
5.379809167E-1,-1.620989418E1,-1.229879189E1,-4.030586243E1
5.486619167E-1,-1.652171326E1,-1.148231792E1,-4.041995621E1
5.593429167E-1,-1.696987724E1,-1.070309353E1,-4.044812393E1
5.700109167E-1,-1.744072342E1,-9.900577545E0,-4.045223618E1
5.807129167E-1,-1.744072342E1,-9.900577545E0,-4.045223618E1
5.913779167E-1,-1.814061546E1,-8.095057487E0,-4.054592133E1
6.020849167E-1,-1.843260956E1,-7.179468632E0,-4.058666992E1
6.127489167E-1,-1.843260956E1,-7.179468632E0,-4.058666992E1
6.234299167E-1,-1.900398827E1,-5.618656635E0,-4.056922913E1
6.341109167E-1,-1.926972389E1,-5.041861534E0,-4.051963425E1
6.447919167E-1,-1.946922302E1,-4.582974911E0,-4.047875214E1
6.554729167E-1,-1.964918900E1,-4.202572346E0,-4.043305206E1
6.661549167E-1,-1.985885620E1,-3.818196774E0,-4.036868286E1
6.768359167E-1,-2.000365067E1,-3.356012344E0,-4.033825302E1
6.875429167E-1,-1.997580338E1,-2.823149920E0,-4.039282990E1
6.982099167E-1,-1.997580338E1,-2.823149920E0,-4.039282990E1
7.089099167E-1,-1.956777191E1,-1.790515780E0,-4.065070724E1
7.195909167E-1,-1.948570061E1,-1.309530020E0,-4.070842743E1
7.302489167E-1,-1.945816422E1,-8.207106590E-1,-4.073438263E1
7.409519167E-1,-1.942895317E1,-3.475466371E-1,-4.075510406E1
7.516339167E-1,-1.942895317E1,-3.475466371E-1,-4.075510406E1
7.623149167E-1,-1.916355133E1,4.915280342E-1,-4.087909317E1
7.729969167E-1,-1.893075943E1,8.375343084E-1,-4.098180771E1
7.836779167E-1,-1.865900421E1,1.158297181E0,-4.109845734E1
7.943589167E-1,-1.832862473E1,1.491833329E0,-4.123614502E1
8.050429167E-1,-1.793889809E1,1.870282650E0,-4.139180374E1
8.157209167E-1,-1.793889809E1,1.870282650E0,-4.139180374E1
8.264019167E-1,-1.691076088E1,2.921610117E0,-4.176211166E1
8.370839167E-1,-1.631668091E1,3.585422993E0,-4.194632339E1
8.477649167E-1,-1.570140839E1,4.289063454E0,-4.211476517E1
8.584649167E-1,-1.505390644E1,4.975024700E0,-4.227544022E1
8.691409167E-1,-1.442433929E1,5.638472557E0,-4.241143417E1
8.798079167E-1,-1.442433929E1,5.638472557E0,-4.241143417E1
8.904889167E-1,-1.348068237E1,7.003951073E0,-4.251822281E1
9.011699167E-1,-1.305105209E1,7.799131393E0,-4.251384735E1
9.118649167E-1,-1.262156010E1,8.688682556E0,-4.247100830E1
9.225339167E-1,-1.222574615E1,9.601695061E0,-4.239011765E1
9.332439167E-1,-1.186196804E1,1.045324898E1,-4.229192352E1
9.439259167E-1,-1.147258186E1,1.124339676E1,-4.219655609E1
9.546069167E-1,-1.102410412E1,1.201845264E1,-4.210236740E1
9.652879167E-1,-1.053491783E1,1.284258270E1,-4.198413086E1
9.759689167E-1,-9.998343468E0,1.381958961E1,-4.180473328E1
9.866499167E-1,-9.341969490E0,1.506818485E1,-4.152421951E1
9.973169167E-1,-8.533621788E0,1.653598595E1,-4.113784027E1
1.008012917E0,-7.599165916E0,1.806891251E1,-4.067370987E1
1.018686917E0,-7.599165916E0,1.806891251E1,-4.067370987E1
1.029395417E0,-5.710458755E0,2.073046494E1,-3.970166397E1
1.040075417E0,-5.710458755E0,2.073046494E1,-3.970166397E1
1.050756417E0,-4.330658913E0,2.249410439E1,-3.890814972E1
1.061444417E0,-4.330658913E0,2.249410439E1,-3.890814972E1
1.072125417E0,-2.878475189E0,2.386749268E1,-3.821833038E1
1.082807417E0,-2.162423134E0,2.456169891E1,-3.782367706E1
1.093488417E0,-1.613609314E0,2.528302002E1,-3.737310028E1
1.104168417E0,-1.293395042E0,2.603792381E1,-3.686376572E1
1.114874417E0,-1.071399689E0,2.682074738E1,-3.630541229E1
1.125531417E0,-1.071399689E0,2.682074738E1,-3.630541229E1
1.136243417E0,-5.078001022E-1,2.842840004E1,-3.507351685E1
1.146919417E0,-1.251468658E-1,2.925146484E1,-3.439360046E1
1.157604417E0,-1.251468658E-1,2.925146484E1,-3.439360046E1
1.168286417E0,5.196943283E-1,3.093174171E1,-3.288678741E1
1.178967417E0,8.438558578E-1,3.171903419E1,-3.212124634E1
1.189649417E0,1.303942680E0,3.243852234E1,-3.137874222E1
1.200330417E0,1.828165054E0,3.306629944E1,-3.068976212E1
1.211011417E0,2.353167534E0,3.358110428E1,-3.008913422E1
1.221692417E0,2.840674400E0,3.398210907E1,-2.959274673E1
1.232373417E0,3.317051888E0,3.428340912E1,-2.919295120E1
1.243045417E0,3.804279327E0,3.451164246E1,-2.886273766E1
1.253730417E0,4.259905815E0,3.469589233E1,-2.857677460E1
1.264419417E0,4.651176453E0,3.485536957E1,-2.832054138E1
1.275098417E0,4.651176453E0,3.485536957E1,-2.832054138E1
1.285779417E0,5.121173859E0,3.517665482E1,-2.783810806E1
1.296460417E0,5.215662003E0,3.536133575E1,-2.758543777E1
1.307141417E0,5.327033997E0,3.557164764E1,-2.729220200E1
1.317822417E0,5.509737968E0,3.582372665E1,-2.692372513E1
1.328504417E0,5.790600777E0,3.606663513E1,-2.653771782E1
1.339185417E0,6.191268921E0,3.624997711E1,-2.619524384E1
1.349866417E0,6.676665306E0,3.638369751E1,-2.588884354E1
1.360547417E0,7.241625786E0,3.648725128E1,-2.558950806E1
1.371238417E0,7.903685093E0,3.656485748E1,-2.528095436E1
1.381920417E0,7.903685093E0,3.656485748E1,-2.528095436E1
1.392605417E0,9.177845001E0,3.678561401E1,-2.451875305E1
1.403302417E0,9.628038406E0,3.702307892E1,-2.398283195E1
1.413983417E0,9.997238159E0,3.733277512E1,-2.334315109E1
1.424664417E0,1.033023834E1,3.765975189E1,-2.266302490E1
1.435346417E0,1.064874554E1,3.795813370E1,-2.200835800E1
1.446027417E0,1.095532608E1,3.819389343E1,-2.144273949E1
1.456708417E0,1.123835850E1,3.834803391E1,-2.101692963E1
1.467389417E0,1.147175407E1,3.842547607E1,-2.074765968E1
1.478070417E0,1.157263756E1,3.842073822E1,-2.070035553E1
1.488744417E0,1.157679844E1,3.834218979E1,-2.084317207E1
1.499433417E0,1.157679844E1,3.834218979E1,-2.084317207E1
1.510126417E0,1.136443806E1,3.814580536E1,-2.131503487E1
1.520795417E0,1.119162369E1,3.809677124E1,-2.149342155E1
1.531476417E0,1.119162369E1,3.809677124E1,-2.149342155E1
1.542157417E0,1.102394009E1,3.812428665E1,-2.153125381E1
1.552838417E0,1.095140553E1,3.820151520E1,-2.143116379E1
1.563518417E0,1.083428574E1,3.831622696E1,-2.128540802E1
1.574201417E0,1.066707516E1,3.844150162E1,-2.114350891E1
1.584882417E0,1.045004463E1,3.856515884E1,-2.102638054E1
1.595564417E0,1.018153381E1,3.868939209E1,-2.092965698E1
1.606251417E0,9.874485970E0,3.881258011E1,-2.084853745E1
1.616956417E0,9.577269554E0,3.891440582E1,-2.079732132E1
1.627637417E0,9.324095726E0,3.897732925E1,-2.079453468E1
1.638323417E0,9.139579773E0,3.899604416E1,-2.084130859E1
1.648999417E0,9.024516106E0,3.898356247E1,-2.091467667E1
1.659668417E0,8.940622330E0,3.896765900E1,-2.098024178E1
1.670362417E0,8.940622330E0,3.896765900E1,-2.098024178E1
1.681042417E0,8.759124756E0,3.898763657E1,-2.101964569E1
1.691724417E0,8.675256729E0,3.903019714E1,-2.097539520E1
1.702405417E0,8.619110107E0,3.907838058E1,-2.090872383E1
1.713076417E0,8.586708069E0,3.911823654E1,-2.084743500E1
1.723781417E0,8.586708069E0,3.911823654E1,-2.084743500E1
1.734448417E0,8.562500954E0,3.914487839E1,-2.080734825E1
1.745130417E0,8.567171097E0,3.912683105E1,-2.083934021E1
1.755811417E0,8.552571297E0,3.910084915E1,-2.089403915E1
1.766492417E0,8.510402679E0,3.908593750E1,-2.093910980E1
1.777168417E0,8.446385384E0,3.909254456E1,-2.095268631E1
1.787854417E0,8.334346771E0,3.914094925E1,-2.090714073E1
1.798535417E0,8.334346771E0,3.914094925E1,-2.090714073E1
1.809216417E0,8.119726181E0,3.922751999E1,-2.082919312E1
1.819928417E0,7.980061531E0,3.928256226E1,-2.077937889E1
1.830608417E0,7.825111389E0,3.933717728E1,-2.073493767E1
1.841290417E0,7.825111389E0,3.933717728E1,-2.073493767E1
1.851972417E0,7.487540245E0,3.943771362E1,-2.066850281E1
1.862653417E0,7.259541035E0,3.949790573E1,-2.063487625E1
1.873334417E0,7.130030632E0,3.950522995E1,-2.066598892E1
1.884015417E0,7.017982483E0,3.949646759E1,-2.072101593E1
1.894696417E0,6.904110909E0,3.948442459E1,-2.078213692E1
1.905358417E0,6.786242008E0,3.947864532E1,-2.083188057E1
1.916057417E0,6.680615902E0,3.948106766E1,-2.086141586E1
1.926740417E0,6.680615902E0,3.948106766E1,-2.086141586E1
1.937421417E0,6.509976387E0,3.949192047E1,-2.089478302E1
1.948109417E0,6.411582470E0,3.950329971E1,-2.090369987E1
1.958783417E0,6.411582470E0,3.950329971E1,-2.090369987E1
1.969464417E0,6.239672661E0,3.955600357E1,-2.085600662E1
1.980145417E0,6.170449734E0,3.958955002E1,-2.081289864E1
1.990827417E0,6.091036320E0,3.962538147E1,-2.076804924E1
2.001508417E0,5.995705605E0,3.966023636E1,-2.072922516E1
2.012189417E0,5.897956371E0,3.969031525E1,-2.069967079E1
2.022870417E0,5.803167820E0,3.972668076E1,-2.065666199E1
2.033551417E0,5.710998058E0,3.977698517E1,-2.058542442E1
2.044258417E0,5.618756294E0,3.983588409E1,-2.049672127E1
2.054924417E0,5.543808460E0,3.988283920E1,-2.042568779E1
2.065605417E0,5.494195461E0,3.989928436E1,-2.040697289E1
2.076306417E0,5.494195461E0,3.989928436E1,-2.040697289E1
2.086987417E0,5.438663483E0,3.983966064E1,-2.053791618E1
2.097669417E0,5.408470631E0,3.979642105E1,-2.062951851E1
2.108350417E0,5.377156734E0,3.976141357E1,-2.070506668E1
2.119031417E0,5.355675697E0,3.973636246E1,-2.075866127E1
2.129712417E0,5.341588497E0,3.971023560E1,-2.081221771E1
2.140393417E0,5.319740772E0,3.967202377E1,-2.089053345E1
2.151076417E0,5.287222385E0,3.962369156E1,-2.099028206E1
2.161747417E0,5.259952545E0,3.956480026E1,-2.110788345E1
2.172447417E0,5.229421139E0,3.949540329E1,-2.124499893E1
2.183118417E0,5.229421139E0,3.949540329E1,-2.124499893E1
2.193798417E0,5.126368999E0,3.932484436E1,-2.158380127E1
2.204480417E0,5.091549873E0,3.922014236E1,-2.178165245E1
2.215161417E0,5.092699051E0,3.910268784E1,-2.199153709E1
2.225842417E0,5.146237373E0,3.897172165E1,-2.221046448E1
2.236524417E0,5.259573936E0,3.883179092E1,-2.242793655E1
2.247205417E0,5.424541473E0,3.868858337E1,-2.263518143E1
2.257886417E0,5.647311211E0,3.854250717E1,-2.282907677E1
2.268567417E0,5.908962250E0,3.839614487E1,-2.300877762E1
2.279279417E0,6.188563347E0,3.824953842E1,-2.317882919E1
2.289946417E0,6.470306396E0,3.809486771E1,-2.335593796E1
2.300618417E0,6.470306396E0,3.809486771E1,-2.335593796E1
2.311322417E0,7.018997669E0,3.777349854E1,-2.371666718E1
2.322003417E0,7.276587009E0,3.762446976E1,-2.387539101E1
2.332685417E0,7.497636318E0,3.748961258E1,-2.401870537E1
2.343366417E0,7.680320263E0,3.736691284E1,-2.415181351E1
2.354047417E0,7.846195221E0,3.725672913E1,-2.426843643E1
2.364728417E0,8.014954567E0,3.716251373E1,-2.435758209E1
2.375409417E0,8.193803787E0,3.709125900E1,-2.440662956E1
2.386090417E0,8.370880127E0,3.704930878E1,-2.441025925E1
2.396784417E0,8.511294365E0,3.703302765E1,-2.438639641E1
2.407450417E0,8.597110748E0,3.704674149E1,-2.433541489E1
2.418139417E0,8.650363922E0,3.708864975E1,-2.425256729E1
2.428817417E0,8.698189735E0,3.714550781E1,-2.414821053E1
2.439496417E0,8.698189735E0,3.714550781E1,-2.414821053E1
2.450177417E0,8.422498703E0,3.705318451E1,-2.438660812E1
2.460858417E0,8.485485077E0,3.714147568E1,-2.422996140E1
2.471539417E0,8.549388885E0,3.724127960E1,-2.405366325E1
2.482221417E0,8.600672722E0,3.735029602E1,-2.386561584E1
2.492902417E0,8.634317398E0,3.746936035E1,-2.366598892E1
2.503583417E0,8.652468681E0,3.759492111E1,-2.345933151E1
2.514292417E0,8.665434837E0,3.771414566E1,-2.326235008E1
2.524967417E0,8.665434837E0,3.771414566E1,-2.326235008E1
2.535657417E0,8.680397034E0,3.792875671E1,-2.290510559E1
2.546338417E0,8.666780472E0,3.803974152E1,-2.272550392E1
2.556995417E0,8.629508018E0,3.816331482E1,-2.253167725E1
2.567700417E0,7.907464027E0,3.822665787E1,-2.268872452E1
2.578382417E0,7.907464027E0,3.822665787E1,-2.268872452E1
2.589063417E0,7.712298393E0,3.849929047E1,-2.229145050E1
2.599744417E0,7.604452133E0,3.862263870E1,-2.211442566E1
2.610425417E0,7.519920349E0,3.874149704E1,-2.193469620E1
2.621106417E0,7.459563255E0,3.887072754E1,-2.172567940E1
2.631783417E0,7.406568527E0,3.902227783E1,-2.147063637E1
2.642468417E0,7.406568527E0,3.902227783E1,-2.147063637E1
2.653150417E0,7.299182892E0,3.934962463E1,-2.090245628E1
