"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.235329167E-2,1.496887207E-1,9.234895935E0,2.741548920E0
6.216329167E-2,2.761756897E-1,9.206305389E0,3.440894623E0
7.194929167E-2,1.558259583E-1,9.371112671E0,3.746708679E0
8.174529167E-2,-1.212478638E-2,9.365723877E0,3.803740082E0
9.157229167E-2,-1.478924561E-1,9.336833954E0,3.714076538E0
1.013682917E-1,-9.370513916E-2,9.372908936E0,3.438499603E0
1.111642917E-1,1.342707825E-1,9.195527802E0,2.935695190E0
1.209602917E-1,-1.945953369E-3,8.638386383E0,2.160457306E0
1.307582917E-1,3.589535522E-1,9.838889923E0,1.989961853E0
1.405542917E-1,4.108955383E-1,9.817035370E0,2.343825989E0
1.503492917E-1,1.990859985E-1,8.797655182E0,2.552192688E0
1.601462917E-1,2.709365845E-1,8.648265839E0,2.781366119E0
1.699682917E-1,3.564088440E-1,8.944649506E0,3.054398346E0
1.797462917E-1,5.291496277E-1,8.873247986E0,3.480562134E0
1.895652917E-1,1.003812561E0,8.509205017E0,4.050726471E0
1.993602917E-1,1.475182343E0,8.278834076E0,4.424199829E0
2.091562917E-1,1.880988464E0,8.295299835E0,5.446424103E0
2.189522917E-1,1.997895355E0,7.928263092E0,6.130351868E0
2.287642917E-1,1.788181458E0,7.387737122E0,6.745422821E0
2.385452917E-1,1.397793274E0,7.133266296E0,7.287894745E0
2.483412917E-1,7.708969116E-1,7.031028900E0,7.782316589E0
2.581382917E-1,-3.167413330E-1,7.680378571E0,7.840096436E0
2.679642917E-1,-6.662644958E-1,8.838220825E0,6.471941528E0
2.777602917E-1,-8.607101440E-2,9.269474030E0,5.575455780E0
2.875532917E-1,5.086422729E-1,8.360564117E0,5.595663757E0
2.973522917E-1,9.078620911E-1,6.807843018E0,4.529730377E0
3.071482917E-1,1.232686615E0,6.275549927E0,5.039270782E0
3.169452917E-1,1.286424866E0,6.981631622E0,5.907914429E0
3.267402917E-1,9.880952454E-1,8.492888947E0,6.318061523E0
3.365372917E-1,8.171507263E-1,9.338330841E0,6.692433014E0
3.463632917E-1,5.999523926E-1,9.107361145E0,6.419101410E0
3.561592917E-1,4.167333984E-1,8.487200775E0,5.239554291E0
3.659552917E-1,3.871100006E0,6.933581543E0,7.840246124E0
3.757522917E-1,3.700155487E0,7.316485291E0,6.321803741E0
3.855492917E-1,2.190095673E0,8.908424835E0,4.670737152E0
3.953442917E-1,5.523513794E-1,7.977810059E0,4.484225006E0
4.051402917E-1,-9.008267212E-1,6.213279419E0,5.027295685E0
4.149362917E-1,-1.509011993E0,6.478976898E0,5.173391876E0
4.247322917E-1,-1.460063782E0,7.585026855E0,4.510570221E0
4.345292917E-1,-1.290316772E0,7.788154449E0,4.197421417E0
4.443252917E-1,-6.604266357E-1,6.922055511E0,4.621639252E0
4.541212917E-1,3.194357300E-1,6.513554993E0,4.888085175E0
4.639472917E-1,-1.347198486E-1,6.794670410E0,4.809498596E0
4.737442917E-1,-6.412664795E-1,6.972500610E0,4.795577545E0
4.835402917E-1,2.255809021E-1,6.716233521E0,5.252577209E0
4.933362917E-1,1.492246857E0,6.013145599E0,6.223308563E0
5.031322917E-1,2.640509033E0,5.630840607E0,6.839876404E0
5.129282917E-1,3.010689240E0,5.874982910E0,6.925498352E0
5.227242917E-1,3.001857605E0,6.124214630E0,7.537425842E0
5.325202917E-1,3.228486328E0,5.983956299E0,9.185798035E0
5.423172917E-1,3.110232239E0,5.405858459E0,1.039228912E1
5.521132917E-1,1.601070557E0,5.500312042E0,1.072115524E1
5.619092917E-1,6.616241455E-2,6.306236115E0,9.974507904E0
5.717052917E-1,7.283853149E-1,6.363117828E0,9.022038574E0
5.815162917E-1,2.163301392E0,5.379962311E0,8.267008667E0
5.913162917E-1,2.499352570E0,4.586911469E0,7.955356750E0
6.011242917E-1,1.617686005E0,4.412224731E0,8.029153290E0
6.109202917E-1,2.814147949E-1,4.643643494E0,8.000712433E0
6.207172917E-1,-5.737568665E-1,4.591102753E0,7.871231689E0
6.305122917E-1,-9.708810425E-1,4.170178070E0,7.456593933E0
6.403092917E-1,-1.465602264E0,3.986060944E0,6.844666443E0
6.501142917E-1,-1.257984009E0,4.020639038E0,5.960904236E0
6.599012917E-1,-7.041357422E-1,3.807631989E0,4.637655945E0
6.696972917E-1,-9.807604980E-1,3.823948059E0,4.901108093E0
6.794932917E-1,-2.680026855E0,4.887785797E0,5.534740448E0
6.892892917E-1,-2.117646332E0,5.610333252E0,7.609875183E0
6.990932917E-1,-1.953138428E0,5.595663757E0,9.199868774E0
7.088922917E-1,-1.414857788E0,4.966222687E0,1.060739182E1
7.187082917E-1,-1.223106537E0,4.120032349E0,1.129925308E1
7.285042917E-1,-1.343156891E0,3.530558167E0,1.048659302E1
7.383012917E-1,-1.257235565E0,3.649111633E0,9.016200714E0
7.480982917E-1,-4.053570557E-1,3.876039734E0,8.715625763E0
7.578932917E-1,-2.342628479E-1,3.740421753E0,9.388775940E0
7.676902917E-1,-1.181792450E0,3.929777985E0,9.310937805E0
7.774862917E-1,-2.942580872E0,4.914131012E0,7.365433502E0
7.872812917E-1,-4.026177521E0,5.903423767E0,5.143454132E0
7.970772917E-1,-4.214036865E0,5.728886719E0,4.107159119E0
8.068732917E-1,-4.651277618E0,4.791685638E0,4.081562347E0
8.166922917E-1,-4.537813568E0,4.455185394E0,4.317322083E0
8.264912917E-1,-3.183879089E0,4.968168640E0,4.140539703E0
8.362622917E-1,-1.579066315E0,5.412444763E0,3.262315979E0
8.460892917E-1,-1.191222839E0,5.682333527E0,2.889890442E0
8.558852917E-1,-2.299667816E0,6.173462219E0,2.865491180E0
8.656812917E-1,-4.013304291E0,6.802154846E0,3.472628632E0
8.754772917E-1,-5.155878296E0,7.193141785E0,4.463268585E0
8.852602917E-1,-6.112089844E0,7.885901184E0,4.847369843E0
8.950692917E-1,-7.104076996E0,8.775201874E0,5.367987213E0
9.048652917E-1,-7.002887421E0,9.383836212E0,5.350773010E0
9.146622917E-1,-6.004164276E0,9.154213715E0,4.984933777E0
9.244582917E-1,-4.150269470E0,8.390651550E0,4.731361084E0
9.342652917E-1,-1.992805939E0,7.646099854E0,4.108356628E0
9.440652917E-1,-8.216413879E-1,7.321275330E0,3.640130310E0
9.538462917E-1,-1.068927155E0,7.830067291E0,3.018473053E0
9.636432917E-1,-1.620380402E0,8.498128052E0,2.391427002E0
9.734382917E-1,-2.301314392E0,8.107290802E0,2.532882843E0
9.832652917E-1,-3.480262756E0,7.309898987E0,2.694247284E0
9.930612917E-1,-4.880151672E0,7.239395599E0,2.981200562E0
1.002862292E0,-5.743406525E0,7.485783234E0,3.166664886E0
1.012653292E0,-6.630012817E0,8.205486603E0,2.433788910E0
1.022450292E0,-6.988367615E0,8.711434479E0,2.092049561E0
1.032246292E0,-7.082072754E0,8.461753693E0,2.693648529E0
1.042043292E0,-6.966962128E0,8.113877106E0,3.053200836E0
1.051838292E0,-6.471342773E0,7.396868134E0,3.668421478E0
1.061639292E0,-6.225254517E0,6.917564850E0,4.776866455E0
1.071430292E0,-5.901028748E0,7.031927032E0,5.776338043E0
1.081226292E0,-5.061424713E0,7.198829956E0,6.114185486E0
1.091054292E0,-4.512965240E0,7.598798218E0,5.543871460E0
1.100849292E0,-4.929848328E0,7.550748138E0,5.490582275E0
1.110645292E0,-5.412145386E0,6.797065430E0,5.910608826E0
1.120445292E0,-5.070705414E0,6.159840546E0,5.972579956E0
1.130220292E0,-4.687951355E0,5.853278046E0,6.320157166E0
1.140035292E0,-4.499193878E0,6.216572571E0,6.700366516E0
1.149831292E0,-4.355642395E0,6.747967529E0,6.399342499E0
1.159636292E0,-4.193080444E0,6.992708588E0,5.760620728E0
1.169441292E0,-4.181105347E0,6.752607880E0,5.072052612E0
1.179234292E0,-4.576732635E0,6.504573669E0,4.730612640E0
1.189033292E0,-4.811294861E0,7.104076996E0,5.162464600E0
1.198834292E0,-4.080813904E0,7.919281769E0,5.147196350E0
1.208634292E0,-2.909948730E0,7.892637177E0,4.317471771E0
1.218429292E0,-2.419867859E0,7.322472839E0,3.495680695E0
1.228230292E0,-3.348536682E0,7.326514435E0,2.825823669E0
1.238026292E0,-4.095782776E0,7.823480988E0,2.752625885E0
1.247816292E0,-4.523892517E0,8.137976990E0,3.358565826E0
1.257617292E0,-5.071603546E0,8.356223145E0,3.264261932E0
1.267410292E0,-6.036347351E0,8.626710663E0,2.307900696E0
1.277215292E0,-7.095095673E0,9.080417175E0,1.953886871E0
1.287007292E0,-8.364905090E0,9.834249573E0,2.016307068E0
1.296833292E0,-9.214538269E0,1.078641953E1,2.019600220E0
1.306629292E0,-9.606273651E0,1.141705811E1,1.398242340E0
1.316425292E0,-9.801617432E0,1.117261642E1,1.109642487E0
1.326222292E0,-1.027792694E1,1.068597839E1,9.798623657E-1
1.336018292E0,-1.111363907E1,1.077968353E1,9.514215088E-1
1.345814292E0,-1.114507370E1,1.107442062E1,6.680607605E-1
1.355610292E0,-1.070947952E1,1.053254745E1,1.676513672E-2
1.365407292E0,-1.002001328E1,9.217681732E0,-1.053658905E0
1.375202292E0,-9.538614349E0,7.928113403E0,-2.453248444E0
1.384998292E0,-9.972561951E0,7.358098755E0,-3.840114441E0
1.394825292E0,-1.067056046E1,7.106022949E0,-4.574936371E0
1.404621292E0,-1.071935898E1,6.401138763E0,-3.987707520E0
1.414417292E0,-1.034139496E1,5.862259369E0,-2.612816620E0
1.424214292E0,-1.015263748E1,6.287075958E0,-3.025209045E-1
1.434010292E0,-6.641688538E0,7.436385956E0,7.805967407E0
