"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.594642917E-1,-1.957123637E0,-1.284935832E0,3.126596212E-1
1.701452917E-1,-2.023297787E0,-1.519912124E0,3.459720314E-1
1.807952917E-1,-2.073357344E0,-1.759943366E0,3.170250654E-1
1.914772917E-1,-2.112731218E0,-2.076374531E0,2.014500052E-1
2.021582917E-1,-2.072600603E0,-2.180879831E0,5.603980273E-2
2.128392917E-1,-1.943744659E0,-2.101043224E0,-4.996093363E-2
2.235202917E-1,-1.723032594E0,-1.723507881E0,-3.611808643E-2
2.342012917E-1,-1.357333183E0,-1.056279182E0,5.437266454E-2
2.448772917E-1,-8.219059110E-1,-3.073008060E-1,2.270769477E-1
2.555502917E-1,-2.326710820E-1,5.860949159E-1,6.038463116E-1
2.662452917E-1,1.997134686E-1,1.657174945E0,1.171216488E0
2.769342917E-1,1.955156475E-1,2.897531748E0,1.715600491E0
2.876072917E-1,-2.039324641E-1,3.477172375E0,1.930041790E0
2.982882917E-1,-7.221117020E-1,3.236733437E0,1.875819325E0
3.089692917E-1,-9.702759385E-1,2.462717533E0,1.660972476E0
3.196502917E-1,-7.624753714E-1,1.530261159E0,1.392229438E0
3.303322917E-1,-4.143190086E-1,9.286235571E-1,1.128420949E0
3.409822917E-1,-1.711862385E-1,7.211710215E-1,8.589355350E-1
3.516632917E-1,-2.372035980E-1,1.153266549E0,7.445455790E-1
3.623382917E-1,-6.827154011E-2,1.465560198E0,4.740617573E-1
3.730302917E-1,6.075059772E-1,-8.261555806E-3,-1.352021396E-1
3.837072917E-1,4.664806426E-1,-1.058577061E0,-5.024874806E-1
3.943882917E-1,1.112747192E-1,-1.050014138E0,-3.756315410E-1
4.050732917E-1,-2.701142989E-2,-1.052501559E0,-4.304029047E-2
4.157642917E-1,-2.026691437E-1,-1.078599572E0,3.325354457E-1
4.264312917E-1,-4.905294478E-1,-5.728657842E-1,5.894798636E-1
4.371132917E-1,-8.327440619E-1,3.189434707E-1,7.878412008E-1
4.477942917E-1,-1.009721756E0,8.880460858E-1,9.024479389E-1
4.584752917E-1,-1.099702716E0,1.118444681E0,9.304910302E-1
4.691562917E-1,-1.315122724E0,1.467275858E0,1.009960532E0
4.798382917E-1,-1.549578667E0,2.085724115E0,1.127693176E0
4.905102917E-1,-1.660737038E0,2.229113102E0,1.210638642E0
5.011692917E-1,-1.698871374E0,1.574858785E0,9.814502001E-1
5.118502917E-1,-1.759833694E0,1.263214111E0,7.164060473E-1
5.225312917E-1,-1.788222551E0,1.481628299E0,4.504174590E-1
5.332122917E-1,-1.579147100E0,1.550387502E0,1.414691955E-1
5.438962917E-1,-1.136004210E0,1.544896722E0,-1.068516970E-1
5.545752917E-1,-6.328066587E-1,1.582523465E0,-1.001757011E-1
5.652562917E-1,-2.970435917E-1,1.697342634E0,1.263101697E-1
5.759372917E-1,-2.125340402E-1,1.841254592E0,1.791068017E-1
5.866182917E-1,-2.968169451E-1,2.007703066E0,-2.303510904E-2
5.972992917E-1,-4.028467238E-1,2.087946415E0,-2.323433310E-1
6.079852917E-1,-4.071427882E-1,2.191077948E0,-1.968751550E-1
6.186622917E-1,-3.872220218E-1,2.346465588E0,8.060650527E-2
6.293432917E-1,-3.869026899E-1,2.406867743E0,3.155897260E-1
6.400242917E-1,-4.346700907E-1,2.407647610E0,5.498142242E-1
6.506752917E-1,-6.177750826E-1,2.417362690E0,7.989283800E-1
6.613562917E-1,-9.424669147E-1,2.629061222E0,9.841147065E-1
6.720372917E-1,-1.116049290E0,2.852968693E0,1.346576571E0
6.827182917E-1,-9.921100736E-1,3.411444902E0,1.894823194E0
6.933992917E-1,-6.056460142E-1,3.704671144E0,2.282847643E0
7.040802917E-1,-1.033924744E-1,3.734695911E0,2.439237595E0
7.147612917E-1,4.296192229E-1,3.162240267E0,2.426600933E0
7.254292917E-1,8.663982749E-1,2.432208300E0,2.362497330E0
7.361242917E-1,1.170849323E0,2.379817963E0,2.220324755E0
7.468052917E-1,1.403384566E0,2.803039312E0,1.885979772E0
7.574862917E-1,1.593288541E0,2.860599756E0,1.414127827E0
7.681672917E-1,1.720084906E0,2.540123463E0,1.021636724E0
7.788532917E-1,1.733059764E0,2.560387850E0,9.034519792E-1
7.895192917E-1,1.641370296E0,3.124906301E0,8.576642275E-1
8.002112917E-1,1.460283399E0,3.705365896E0,6.619501114E-1
8.108612917E-1,1.220530987E0,3.846237421E0,3.105598390E-1
8.215422917E-1,9.585680962E-1,3.598487616E0,-1.785896122E-1
8.322242917E-1,6.722853780E-1,3.253940582E0,-6.757005453E-1
8.429042917E-1,3.626596928E-1,3.078167915E0,-1.100954056E0
8.535862917E-1,5.443048850E-2,2.923205137E0,-1.348482966E0
8.642672917E-1,-2.474842370E-1,2.735799551E0,-1.328341484E0
8.749482917E-1,-4.910248816E-1,2.387858152E0,-1.075336456E0
8.856292917E-1,-6.889650226E-1,1.916794300E0,-6.464897394E-1
8.963112917E-1,-8.111993670E-1,1.427865624E0,-1.393815279E-1
9.069922917E-1,-8.417998552E-1,9.504574537E-1,4.020295143E-1
9.176722917E-1,-7.724237442E-1,6.191836596E-1,7.392456532E-1
9.283542917E-1,-6.414206028E-1,3.220053017E-1,7.070197463E-1
9.390352917E-1,-5.269752741E-1,9.236891568E-2,3.646770418E-1
9.497162917E-1,-4.325113297E-1,1.192841530E-1,-5.869073793E-2
9.603792917E-1,-3.175948858E-1,4.862026870E-1,-4.624038935E-1
9.710612917E-1,-1.651012301E-1,9.287596345E-1,-8.274910450E-1
9.817542917E-1,4.582737014E-2,1.219828606E0,-1.074118972E0
9.924102917E-1,2.052703798E-1,1.208200932E0,-1.184216976E0
1.003092292E0,2.184158117E-1,9.459329247E-1,-1.209017634E0
1.013773292E0,8.543433994E-2,8.878432512E-1,-1.140678048E0
1.024454292E0,-1.371113807E-1,9.999498725E-1,-1.066280723E0
1.035135292E0,-3.034244478E-1,1.049062014E0,-1.016921163E0
1.045820292E0,-3.983033001E-1,1.088360429E0,-9.586225152E-1
1.056509292E0,-4.379219115E-1,1.093213916E0,-8.693267703E-1
1.067178292E0,-4.199777842E-1,9.360393882E-1,-7.699032426E-1
1.077848292E0,-3.564417958E-1,5.918699503E-1,-6.991995573E-1
1.088519292E0,-2.511433363E-1,3.958572745E-1,-5.703547597E-1
1.099222292E0,-1.077186689E-1,5.038605332E-1,-3.466279209E-1
1.109903292E0,1.110145524E-1,5.294759274E-1,-1.615608782E-1
1.120584292E0,3.022826016E-1,4.915427268E-1,-6.512090564E-2
1.131235292E0,4.571500719E-1,5.231963992E-1,-1.069551930E-1
1.141916292E0,5.675399303E-1,5.228485465E-1,-2.444946915E-1
1.152597292E0,6.670582891E-1,5.481233001E-1,-3.733637035E-1
1.163278292E0,7.774358988E-1,7.482010126E-1,-4.169417918E-1
1.173959292E0,9.066482186E-1,1.120492339E0,-4.154866636E-1
1.184656292E0,1.034215212E0,1.419193506E0,-4.165354073E-1
1.195331292E0,1.144846916E0,1.379150391E0,-4.409276545E-1
1.205995292E0,1.214694858E0,1.314673305E0,-5.379303694E-1
1.216684292E0,1.253730178E0,1.428300381E0,-6.891545057E-1
1.227365292E0,1.278240085E0,1.728335857E0,-7.913096547E-1
1.238046292E0,1.304330349E0,1.922116876E0,-8.388359547E-1
1.248728292E0,1.297194242E0,1.825301647E0,-8.181807399E-1
1.259409292E0,1.194468856E0,1.571396708E0,-7.771853805E-1
1.270078292E0,1.015708208E0,1.339691043E0,-7.146343589E-1
1.280771292E0,7.983441353E-1,9.983901978E-1,-4.485206306E-1
1.291422292E0,5.322173834E-1,6.530548930E-1,6.764604896E-2
1.302103292E0,1.939759403E-1,4.347052276E-1,5.007729530E-1
1.312796292E0,-4.820523039E-2,4.563846290E-1,6.653496027E-1
1.323485292E0,-4.515369609E-2,6.753734350E-1,5.937635899E-1
1.334145292E0,1.551296711E-1,1.087334991E0,4.885891676E-1
1.344827292E0,4.043654203E-1,1.464474559E0,3.730969131E-1
1.355509292E0,5.942310095E-1,1.804832816E0,2.168305963E-1
1.366190292E0,5.224863887E-1,2.092489481E0,-3.764351085E-2
1.376871292E0,-2.290132642E-2,2.230678558E0,-4.607987404E-2
1.387551292E0,-9.811918736E-1,2.143593311E0,2.564898431E-1
1.398233292E0,-2.146916389E0,1.665406704E0,6.850295067E-1
1.408914292E0,-3.234295130E0,1.121783972E0,1.035946488E0
1.419595292E0,-4.048460007E0,8.208835721E-1,1.275815725E0
1.430269292E0,-3.863533258E0,7.158557773E-1,1.251745343E0
1.440950292E0,-1.826283932E0,6.282346845E-1,4.307425022E-1
1.451635292E0,-5.016627312E-1,3.970731199E-1,2.247855961E-1
1.462290292E0,2.366463095E-1,2.883715034E-1,3.260725141E-1
1.472971292E0,5.028847456E-1,9.791880101E-2,5.298338532E-1
1.483652292E0,5.339348912E-1,-1.507599205E-1,6.618677974E-1
1.494333292E0,3.613564372E-1,-4.204702377E-1,7.084822059E-1
1.505014292E0,3.843803704E-2,-6.688176990E-1,8.322421908E-1
1.515695292E0,-3.260477781E-1,-7.528721690E-1,8.787564635E-1
1.526376292E0,-5.921529531E-1,-6.980088949E-1,9.304388165E-1
1.537058292E0,-6.025393009E-1,-5.691537261E-1,9.781765342E-1
1.547739292E0,-3.731700182E-1,-5.677472949E-1,9.987789989E-1
1.558398292E0,-9.422165900E-2,-5.645158887E-1,9.884083271E-1
1.569101292E0,1.277275980E-1,-4.923377335E-1,7.937367558E-1
1.579782292E0,1.590538323E-1,-4.477183223E-1,2.371960431E-1
1.590464292E0,3.064169735E-2,-3.763521612E-1,3.786108270E-2
1.601142292E0,-6.675588340E-2,-2.540962100E-1,4.273065925E-2
1.611795292E0,-8.563130349E-2,-1.004525870E-1,-3.234332055E-2
1.622475292E0,-7.108564675E-2,8.473910391E-2,-5.297482759E-2
1.633157292E0,-8.225361258E-2,1.060758233E-1,4.941625893E-2
1.643839292E0,-1.167090610E-1,-3.724353015E-2,1.482160836E-1
1.654520292E0,-1.329154670E-1,-1.944062412E-1,1.482072920E-1
1.665201292E0,-1.020965576E-1,-2.655779123E-1,6.136373058E-2
1.675868292E0,-3.478565440E-2,-2.495811582E-1,-9.393966198E-2
1.686563292E0,4.807202891E-2,-1.550852209E-1,-2.797500193E-1
1.697227292E0,9.173162282E-2,-4.641599581E-2,-4.505057633E-1
1.707924292E0,1.154395044E-1,1.028588414E-1,-5.491802096E-1
1.718607292E0,1.321614981E-1,2.332402915E-1,-5.224311352E-1
1.729288292E0,1.650968194E-1,3.360539973E-1,-4.411205649E-1
1.739969292E0,2.171474993E-1,4.059185684E-1,-3.844032288E-1
1.750650292E0,3.002786040E-1,5.793079734E-1,-3.193845451E-1
1.761301292E0,3.541703224E-1,8.047804832E-1,-2.771081924E-1
1.771982292E0,3.682453930E-1,9.176269174E-1,-3.002550602E-1
1.782663292E0,3.205612302E-1,9.015355110E-1,-2.072438896E-1
1.793351292E0,2.564116716E-1,9.034628868E-1,5.515726656E-2
1.804025292E0,1.975896358E-1,8.939103484E-1,2.371526361E-1
1.814707292E0,1.530505270E-1,7.808709741E-1,3.056701720E-1
1.825388292E0,9.680198133E-2,5.924249291E-1,3.072821498E-1
1.836066292E0,2.972437814E-2,4.094428718E-1,3.020651340E-1
1.846749292E0,-3.139745211E-3,2.211079299E-1,2.632530332E-1
1.857431292E0,-6.956319790E-3,8.341051638E-2,2.107924968E-1
1.868112292E0,-1.819299720E-2,5.891221110E-3,1.937834173E-1
1.878793292E0,-5.067264289E-2,-5.211615562E-2,2.135467380E-1
1.889475292E0,-9.803882241E-2,-1.618309468E-1,2.358467132E-1
1.900155292E0,-1.355188191E-1,-3.180306554E-1,2.482450604E-1
1.910835292E0,-1.734231114E-1,-4.584954679E-1,2.314545363E-1
1.921499292E0,-1.959642768E-1,-5.304803848E-1,1.525005847E-1
