"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.979297917E-1,-2.788634300E1,-2.046794128E1,-2.550941658E1
5.086097917E-1,-2.788634300E1,-2.046794128E1,-2.550941658E1
5.192967917E-1,-2.788634300E1,-2.046794128E1,-2.550941658E1
5.299847917E-1,-2.536518097E1,-2.552746010E1,-2.285598946E1
5.406387917E-1,-2.536518097E1,-2.552746010E1,-2.285598946E1
5.513197917E-1,-2.515362167E1,-2.608374786E1,-2.245826340E1
5.620007917E-1,-2.524295235E1,-2.631271744E1,-2.208788300E1
5.726817917E-1,-2.543639374E1,-2.651637840E1,-2.161739349E1
5.833637917E-1,-2.568566322E1,-2.670377350E1,-2.108542633E1
5.940447917E-1,-2.594927788E1,-2.689024734E1,-2.051803780E1
6.047257917E-1,-2.621509743E1,-2.707403183E1,-1.993001366E1
6.154067917E-1,-2.646784973E1,-2.725407219E1,-1.934188461E1
6.260847917E-1,-2.669421768E1,-2.742822838E1,-1.877634621E1
6.367547917E-1,-2.686681366E1,-2.760128784E1,-1.826974297E1
6.474447917E-1,-2.696514130E1,-2.777917290E1,-1.785045624E1
6.580997917E-1,-2.699526787E1,-2.795473099E1,-1.752793884E1
6.687817917E-1,-2.699526787E1,-2.795473099E1,-1.752793884E1
6.794627917E-1,-2.697872734E1,-2.821422577E1,-1.713318634E1
6.901447917E-1,-2.701689148E1,-2.825951004E1,-1.699787140E1
7.008257917E-1,-2.709659958E1,-2.827234268E1,-1.684899521E1
7.115067917E-1,-2.721011734E1,-2.828011322E1,-1.665187073E1
7.221877917E-1,-2.734309578E1,-2.829925346E1,-1.639962006E1
7.328687917E-1,-2.746937180E1,-2.833053207E1,-1.613241005E1
7.435497917E-1,-2.757863998E1,-2.835856628E1,-1.589498425E1
7.542307917E-1,-2.766724968E1,-2.837628937E1,-1.570825863E1
7.648977917E-1,-2.772545624E1,-2.837657547E1,-1.560477829E1
7.755627917E-1,-2.772545624E1,-2.837657547E1,-1.560477829E1
7.862437917E-1,-2.772848892E1,-2.831923103E1,-1.570325089E1
7.969257917E-1,-2.772848892E1,-2.831923103E1,-1.570325089E1
8.076067917E-1,-2.755891228E1,-2.822171211E1,-1.617039299E1
8.182877917E-1,-2.739730453E1,-2.818584442E1,-1.650411224E1
8.289687917E-1,-2.716538620E1,-2.817306900E1,-1.690443993E1
8.396487917E-1,-2.686964417E1,-2.817407036E1,-1.736905670E1
8.503307917E-1,-2.653215981E1,-2.817560387E1,-1.787792015E1
8.610117917E-1,-2.618340683E1,-2.817524719E1,-1.838545036E1
8.716937917E-1,-2.583558846E1,-2.818611526E1,-1.885485077E1
8.823577917E-1,-2.548803139E1,-2.823978424E1,-1.924356842E1
8.930237917E-1,-2.548803139E1,-2.823978424E1,-1.924356842E1
9.037007917E-1,-2.484766769E1,-2.851836205E1,-1.966562271E1
9.143877917E-1,-2.463034058E1,-2.871190643E1,-1.965738869E1
9.250687917E-1,-2.450310326E1,-2.890656662E1,-1.953069496E1
9.357487917E-1,-2.446003532E1,-2.908249283E1,-1.932241058E1
9.464307917E-1,-2.445705414E1,-2.925033569E1,-1.907119179E1
9.571117917E-1,-2.445335197E1,-2.942716217E1,-1.880201530E1
9.677927917E-1,-2.439599991E1,-2.962167168E1,-1.856964493E1
9.784747917E-1,-2.422527695E1,-2.984167099E1,-1.844046974E1
9.891557917E-1,-2.391507912E1,-3.009798050E1,-1.842879677E1
9.998117917E-1,-2.349896240E1,-3.037714005E1,-1.850590134E1
1.010510792E0,-2.349896240E1,-3.037714005E1,-1.850590134E1
1.021168792E0,-2.255300903E1,-3.091396713E1,-1.879170990E1
1.031843792E0,-2.215077591E1,-3.108555031E1,-1.898610306E1
1.042523792E0,-2.187492943E1,-3.110399246E1,-1.927353477E1
1.053206792E0,-2.175065422E1,-3.091492462E1,-1.971335030E1
1.063886792E0,-2.171084404E1,-3.049316025E1,-2.040212440E1
1.074573792E0,-2.171084404E1,-3.049316025E1,-2.040212440E1
1.085255792E0,-2.135227585E1,-2.924063301E1,-2.250568390E1
1.095936792E0,-2.080076599E1,-2.879991341E1,-2.356550407E1
1.106617792E0,-2.009036255E1,-2.865180969E1,-2.434936142E1
1.117288792E0,-1.939868164E1,-2.872796631E1,-2.481602859E1
1.127951792E0,-1.939868164E1,-2.872796631E1,-2.481602859E1
1.138624792E0,-1.861812973E1,-2.901887512E1,-2.507409859E1
1.149311792E0,-1.861812973E1,-2.901887512E1,-2.507409859E1
1.159992792E0,-1.872132111E1,-2.917696762E1,-2.481243134E1
1.170673792E0,-1.886190033E1,-2.925178146E1,-2.461711121E1
1.181354792E0,-1.891774178E1,-2.933758354E1,-2.447172356E1
1.192036792E0,-1.884078217E1,-2.945208168E1,-2.439344025E1
1.202717792E0,-1.864240074E1,-2.958663940E1,-2.438302422E1
1.213398792E0,-1.835062981E1,-2.971083641E1,-2.445323181E1
1.224079792E0,-1.793324280E1,-2.980575752E1,-2.464661789E1
1.234743792E0,-1.732847404E1,-2.986795616E1,-2.500138474E1
1.245431792E0,-1.656131744E1,-2.990469551E1,-2.547296524E1
1.256092792E0,-1.573130608E1,-2.990383720E1,-2.599474335E1
1.266781792E0,-1.492915154E1,-2.981640625E1,-2.656204605E1
1.277467792E0,-1.409844589E1,-2.963208961E1,-2.721420670E1
1.288135792E0,-1.409844589E1,-2.963208961E1,-2.721420670E1
1.298817792E0,-1.248933125E1,-2.924046898E1,-2.839809418E1
1.309498792E0,-1.217219639E1,-2.951158333E1,-2.825498581E1
1.320179792E0,-1.202015972E1,-3.007196808E1,-2.772422409E1
1.330860792E0,-1.172258759E1,-3.069128227E1,-2.716737175E1
1.341541792E0,-1.127885437E1,-3.122304726E1,-2.674600983E1
1.352195792E0,-1.095561695E1,-3.164690208E1,-2.637968826E1
1.362895792E0,-1.135815620E1,-3.193895149E1,-2.585219193E1
1.373554792E0,-1.221860981E1,-3.194196129E1,-2.545303154E1
1.384235792E0,-1.303048515E1,-3.167592812E1,-2.538271332E1
1.394916792E0,-1.369591999E1,-3.130922127E1,-2.548714256E1
1.405608792E0,-1.418350887E1,-3.095881462E1,-2.564799881E1
1.416279792E0,-1.452369404E1,-3.066003799E1,-2.581597137E1
1.426960792E0,-1.452369404E1,-3.066003799E1,-2.581597137E1
1.437641792E0,-1.503777790E1,-3.021334457E1,-2.604724693E1
1.448321792E0,-1.551817036E1,-3.006716347E1,-2.593438339E1
1.459003792E0,-1.619487000E1,-2.993475914E1,-2.567248535E1
1.469654792E0,-1.688362885E1,-2.975566673E1,-2.543587112E1
1.480334792E0,-1.743277359E1,-2.944312096E1,-2.542913818E1
1.491016792E0,-1.792774963E1,-2.899334717E1,-2.560120392E1
1.501697792E0,-1.792774963E1,-2.899334717E1,-2.560120392E1
1.512379792E0,-1.866243744E1,-2.783135986E1,-2.635467529E1
1.523060792E0,-1.893807602E1,-2.715117645E1,-2.686267090E1
1.533746792E0,-1.209280777E1,-2.632059860E1,-2.985029793E1
1.544405792E0,-1.246667862E1,-2.605068970E1,-2.993315506E1
1.555103792E0,-1.246667862E1,-2.605068970E1,-2.993315506E1
1.565784792E0,-1.234800720E1,-2.605657005E1,-2.997719955E1
1.576466792E0,-1.210382652E1,-2.640549469E1,-2.977075958E1
1.587147792E0,-1.173000336E1,-2.692123795E1,-2.945682716E1
1.597822792E0,-1.128343773E1,-2.751342773E1,-2.908171463E1
1.608492792E0,-1.080241776E1,-2.806305313E1,-2.873714447E1
1.619160792E0,-1.080241776E1,-2.806305313E1,-2.873714447E1
1.629841792E0,-1.005192757E1,-2.882064438E1,-2.825561905E1
1.640522792E0,-9.848855972E0,-2.901476097E1,-2.812817383E1
1.651202792E0,-9.706197739E0,-2.909700775E1,-2.809278488E1
1.661883792E0,-9.544948578E0,-2.913330460E1,-2.811041260E1
1.672565792E0,-9.349087715E0,-2.921827698E1,-2.808803177E1
1.683247792E0,-9.133723259E0,-2.937491226E1,-2.799536133E1
1.693928792E0,-9.133723259E0,-2.937491226E1,-2.799536133E1
1.704609792E0,-8.723961830E0,-2.974111176E1,-2.773823547E1
1.715260792E0,-8.446035385E0,-2.984414864E1,-2.771357155E1
1.725964792E0,-8.446035385E0,-2.984414864E1,-2.771357155E1
1.736622792E0,-7.775143623E0,-2.964709282E1,-2.811845779E1
1.747303792E0,-7.425197601E0,-2.925592232E1,-2.861832047E1
1.757984792E0,-6.982182503E0,-2.858083725E1,-2.940128517E1
1.768665792E0,-6.457005501E0,-2.761822510E1,-3.042353439E1
1.779346792E0,-5.850698471E0,-2.641121674E1,-3.159537506E1
1.790028792E0,-5.168169975E0,-2.506369781E1,-3.278950882E1
1.800696792E0,-4.358033180E0,-2.360306549E1,-3.396989441E1
1.811372792E0,-3.410193443E0,-2.211087227E1,-3.506466675E1
1.822071792E0,-3.410193443E0,-2.211087227E1,-3.506466675E1
1.832730792E0,-1.101258278E0,-1.953548241E1,-3.670426178E1
