"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.039341667E-2,-1.013991394E0,4.972359924E0,7.726333008E0
5.017241667E-2,-8.298742676E-1,5.043611755E0,8.176596680E0
5.995141667E-2,-7.722441101E-1,4.975503387E0,8.840915222E0
6.974941667E-2,-6.144721985E-1,4.925207977E0,1.014275803E1
7.954441667E-2,-2.920426941E-1,4.944068756E0,1.025756927E1
8.934041667E-2,-2.305206299E-1,4.923860779E0,9.092991028E0
9.913641667E-2,-2.475851440E-1,4.833897858E0,8.416996765E0
1.089324167E-1,-3.477268982E-1,4.708907776E0,8.158634033E0
1.186994167E-1,-2.076182556E-1,4.719385986E0,7.952063599E0
1.284944167E-1,-1.987866211E-1,4.768034821E0,7.909102936E0
1.382904167E-1,-2.251318359E-1,4.855453033E0,8.045619049E0
1.480864167E-1,-2.993774414E-1,4.893324280E0,8.100854187E0
1.578824167E-1,-4.546046448E-1,4.870870972E0,8.125253448E0
1.676484167E-1,-6.625222778E-1,4.676125946E0,8.732839966E0
1.774444167E-1,-6.258485413E-1,4.604275360E0,9.455237732E0
1.872404167E-1,-5.954617310E-1,4.624333649E0,9.299411774E0
1.970364167E-1,-5.620811462E-1,4.646786957E0,9.072184296E0
2.068334167E-1,-4.839436340E-1,4.686005402E0,8.756640472E0
2.166294167E-1,-4.773573303E-1,4.725822601E0,8.507259064E0
2.263954167E-1,-5.331912231E-1,4.716841278E0,8.452323303E0
2.361904167E-1,-6.143225098E-1,4.702770538E0,8.500972137E0
2.459874167E-1,-7.060816956E-1,4.675377502E0,8.509055328E0
2.557834167E-1,-7.268884277E-1,4.611909485E0,8.447233887E0
2.655794167E-1,-7.497908020E-1,4.637057190E0,8.325836334E0
2.753754167E-1,-7.229965210E-1,4.587659912E0,8.244106293E0
2.851414167E-1,-7.387138367E-1,4.516857147E0,8.263715515E0
2.949384167E-1,-7.976911926E-1,4.425097961E0,8.445287933E0
3.047344167E-1,-7.940986633E-1,4.339326324E0,8.677006073E0
3.145294167E-1,-7.583230591E-1,4.327500916E0,8.715775452E0
3.243254167E-1,-6.653663635E-1,4.431235199E0,8.732989655E0
3.341214167E-1,-6.780899048E-1,4.609963531E0,8.723559265E0
3.438874167E-1,-7.226971436E-1,4.680017853E0,8.684939575E0
3.536834167E-1,-7.261399841E-1,4.555327148E0,8.630003815E0
3.634804167E-1,-7.442523193E-1,4.314777374E0,8.634195099E0
3.732754167E-1,-8.202941895E-1,4.215982819E0,8.543184357E0
3.830724167E-1,-8.731343079E-1,4.215084686E0,8.478518829E0
3.928684167E-1,-8.575666809E-1,4.257745972E0,8.337062988E0
4.026334167E-1,-1.085243225E0,4.728816376E0,7.558232574E0
4.124304167E-1,-7.417076111E-1,4.915178833E0,8.033793640E0
4.222274167E-1,-5.545967102E-1,4.781955872E0,9.094038849E0
4.320234167E-1,-7.396119690E-1,4.151916046E0,1.018362305E1
4.418184167E-1,-1.332828369E0,3.814517670E0,9.809850311E0
4.516114167E-1,-1.254690857E0,3.944297791E0,8.760831757E0
4.613804167E-1,-8.421487427E-1,4.054618378E0,8.531508636E0
4.711764167E-1,-5.951623535E-1,3.700754242E0,9.095236359E0
4.809724167E-1,-4.510121155E-1,3.652554474E0,9.529782715E0
4.907684167E-1,-5.435197449E-1,3.764970703E0,9.374256134E0
5.005444167E-1,-6.620732117E-1,3.926185455E0,8.671168213E0
5.103434167E-1,-5.252577209E-1,4.119433594E0,8.479716339E0
5.201264167E-1,-5.263055420E-1,4.225862274E0,8.931027832E0
5.299224167E-1,-6.635700989E-1,4.194577332E0,9.336384888E0
5.397184167E-1,-6.692582703E-1,4.160298615E0,9.483977966E0
5.494934167E-1,-5.444178772E-1,4.154161377E0,9.083410950E0
5.592974167E-1,-6.268963623E-1,4.069736938E0,8.273744659E0
5.690804167E-1,-6.936575317E-1,4.096680908E0,7.842491455E0
5.788704167E-1,-5.481600952E-1,4.039200439E0,8.321794739E0
5.886564167E-1,-6.764433289E-1,4.026327209E0,8.470585327E0
5.984664167E-1,-7.837701416E-1,3.932771759E0,7.869884491E0
6.082444167E-1,-7.494914246E-1,3.565285950E0,7.170389099E0
6.180444167E-1,-5.525010681E-1,3.463647308E0,8.788823547E0
6.278184167E-1,-6.664141846E-1,3.489693146E0,1.092098969E1
6.376014167E-1,-5.505551147E-1,3.484753418E0,1.157797348E1
6.473904167E-1,-6.671626282E-1,3.457959137E0,1.113714020E1
6.571804167E-1,-7.096742249E-1,3.250340881E0,9.163793793E0
6.669774167E-1,-3.579057312E-1,3.003354492E0,7.624095612E0
6.767734167E-1,2.215393066E-2,2.962339783E0,7.651638336E0
6.865694167E-1,3.171903992E-1,3.475772095E0,8.595725098E0
6.963654167E-1,2.924917603E-1,3.944447479E0,9.259145508E0
7.061314167E-1,3.341052246E-1,4.320764923E0,8.608149261E0
7.159274167E-1,3.444337463E-1,4.496200104E0,8.177644501E0
7.257234167E-1,3.484753418E-1,4.395309906E0,7.550598450E0
7.355194167E-1,1.323248291E-1,4.087100830E0,6.451583862E0
7.453154167E-1,-6.694079590E-1,3.779191132E0,7.847880249E0
7.550814167E-1,-1.066532135E0,3.911066895E0,8.915160828E0
7.648774167E-1,-1.410367126E0,4.270020447E0,9.039552155E0
7.746734167E-1,-1.442699890E0,4.570745087E0,9.980345764E0
7.844694167E-1,-1.044378204E0,4.624183960E0,9.822573853E0
7.942364167E-1,-1.167572021E0,4.536166992E0,8.485853577E0
8.040314167E-1,-1.227746887E0,3.898343353E0,7.805967407E0
8.138274167E-1,-1.449884949E0,3.186124420E0,7.890990601E0
8.236234167E-1,-1.228944397E0,3.473377075E0,8.128995667E0
8.334194167E-1,-1.419647827E0,4.539310455E0,6.903344421E0
8.432164167E-1,-8.077203369E-1,4.499493256E0,5.659580841E0
8.529814167E-1,-1.435065765E0,4.108206940E0,7.454797668E0
8.627784167E-1,-2.424807587E0,3.865262146E0,8.781339111E0
8.725734167E-1,-2.107018433E0,4.209995270E0,9.269474030E0
8.823704167E-1,-1.571731567E0,4.701123962E0,8.182434540E0
8.921354167E-1,-1.742077332E0,4.880900116E0,7.132517853E0
9.019324167E-1,-2.365979919E0,4.434079285E0,7.920928345E0
9.117284167E-1,-2.399360504E0,4.381538544E0,7.537126465E0
9.215244167E-1,-2.025887146E0,4.816983032E0,6.390810242E0
9.312894167E-1,-2.416724396E0,5.357658691E0,7.420818329E0
9.410854167E-1,-2.870730286E0,5.776637421E0,7.872129822E0
9.508834167E-1,-3.200793915E0,6.223907318E0,7.557633820E0
9.606784167E-1,-3.579207001E0,6.987918549E0,7.215894470E0
9.704434167E-1,-3.470233612E0,7.777825928E0,6.719376984E0
9.802394167E-1,-3.522474976E0,8.102650452E0,7.275470581E0
9.900364167E-1,-3.948040009E0,8.505313110E0,7.205715637E0
9.998324167E-1,-4.270020447E0,8.608448639E0,5.919739838E0
1.009628417E0,-4.511468353E0,8.085585938E0,5.874234467E0
1.019395417E0,-3.298690338E0,6.688092041E0,6.091881866E0
1.029190417E0,-1.368603973E0,5.502407684E0,6.737189941E0
1.038986417E0,-3.222798157E-1,4.693789215E0,7.304360504E0
1.048782417E0,-1.338366852E0,4.591252441E0,5.708529053E0
1.058579417E0,-3.886068878E0,4.741539917E0,4.537514191E0
1.068344417E0,-5.411995697E0,4.210144958E0,3.197949829E0
1.078140417E0,-5.595813446E0,3.489693146E0,2.966082001E0
1.087937417E0,-5.820196838E0,3.232976990E0,3.657943268E0
1.097732417E0,-5.712720337E0,3.332370300E0,5.067861328E0
1.107498417E0,-4.961432648E0,2.662363586E0,6.083499298E0
1.117295417E0,-3.897894287E0,2.020198975E0,6.867119751E0
1.127090417E0,-1.396745453E0,1.575174408E0,6.508016510E0
1.136886417E0,1.274000702E0,2.125579834E-1,6.506819000E0
1.146682417E0,6.752458191E-1,2.233355713E-1,5.938899994E0
1.156461417E0,-1.587598572E0,1.671723633E0,4.317920837E0
1.166258417E0,-3.631148987E0,3.584296417E0,3.207380219E0
1.176040417E0,-4.857548676E0,5.035378876E0,2.995870056E0
1.185836417E0,-5.241051178E0,5.299429779E0,3.864813080E0
1.195602417E0,-5.416486359E0,5.375022583E0,5.826483765E0
1.205398417E0,-5.260810089E0,5.782624969E0,7.490273895E0
1.215187417E0,-3.696712646E0,5.833070068E0,8.188272400E0
1.224990417E0,-9.716294861E-1,5.573060760E0,8.684939575E0
1.234787417E0,2.066003723E0,5.410199432E0,8.328081665E0
1.244552417E0,3.136278076E0,5.791606293E0,7.322772217E0
1.254348417E0,2.105671234E0,7.607929230E0,6.618337097E0
1.264128417E0,-5.388793945E-1,9.880653076E0,5.968089294E0
1.273941417E0,-1.000369720E0,1.146675476E1,4.200115814E0
1.283707417E0,-5.065466309E-1,1.297786240E1,2.855611725E0
1.293502417E0,-1.087039490E0,1.449989731E1,2.669249268E0
1.303299417E0,-1.304686890E0,1.400697235E1,4.147126007E0
1.313095417E0,-3.749702454E-1,1.192749664E1,5.492378540E0
1.322860417E0,1.031355286E-1,1.041189835E1,6.567442932E0
1.332664417E0,1.615141296E-1,1.011790970E1,4.941973114E0
1.342453417E0,5.269042969E-1,1.005354355E1,5.514233093E0
1.352250417E0,1.575473785E0,1.057206528E1,6.686146088E0
1.362045417E0,3.217109985E0,1.142843445E1,6.661746826E0
1.371811417E0,4.128414917E0,1.195668594E1,5.820645905E0
1.381601417E0,2.802172852E0,1.251098328E1,6.181844788E0
1.391403417E0,1.703906708E0,1.262444733E1,6.758445740E0
1.401199417E0,2.462828522E0,1.239242981E1,7.323969727E0
1.410965417E0,2.653232574E0,1.195818283E1,7.401209106E0
1.420761417E0,4.890330505E-1,1.186702240E1,6.711144104E0
1.430557417E0,-1.898651733E0,1.165955383E1,4.502936096E0
1.440353417E0,-1.135987701E0,1.313832870E1,2.994822235E0
1.450133417E0,5.861810303E-1,1.441113190E1,2.411934357E0
1.459915417E0,4.571493530E-1,1.422970917E1,1.377285919E0
1.469705417E0,5.520520020E-1,1.368424347E1,1.808688812E0
1.479502417E0,1.138382721E0,1.265139130E1,1.650767212E0
1.489298417E0,1.312470703E0,1.204350540E1,1.734293518E0
1.499063417E0,9.361532593E-1,1.245035934E1,1.612297211E0
1.508861417E0,3.906875610E-1,1.304761734E1,1.361568604E0
1.518662417E0,1.567240906E-1,1.273865982E1,1.253044281E0
1.528427417E0,1.448986816E-1,1.183468964E1,7.608677673E-1
1.538223417E0,-4.275109863E-1,1.022059616E1,1.071621552E0
1.548019417E0,-4.552033997E-1,8.590336304E0,1.770667877E0
1.557816417E0,4.924758911E-1,7.414082336E0,2.260000305E0
1.567586417E0,2.203867035E0,6.108347626E0,3.099754028E0
1.577377417E0,3.087778931E0,5.143154755E0,3.723357239E0
1.587173417E0,3.879183197E0,5.910608826E0,4.157155151E0
1.596969417E0,3.688030701E0,6.825057220E0,3.908971252E0
1.606735417E0,2.870730286E0,6.425238647E0,3.709286499E0
1.616527417E0,2.048639832E0,6.335275726E0,4.254752197E0
1.626309417E0,1.063388672E0,6.466103668E0,3.357218628E0
1.636123417E0,-1.091230774E-1,7.455097046E0,2.228865051E0
