"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.859554167E-1,7.197690010E0,2.817617416E0,-4.344352722E1
2.966364167E-1,7.165869713E0,3.029453278E0,-4.343453217E1
3.073144167E-1,7.128464699E0,3.220592499E0,-4.342693329E1
3.179904167E-1,7.069810867E0,3.412746429E0,-4.342184448E1
3.286794167E-1,7.069810867E0,3.412746429E0,-4.342184448E1
3.393604167E-1,6.965920448E0,3.787765503E0,-4.340753937E1
3.500194167E-1,6.949787617E0,3.961980820E0,-4.339456940E1
3.607044167E-1,6.942490101E0,4.120065689E0,-4.338101578E1
3.714044167E-1,6.938331127E0,4.255081177E0,-4.336864471E1
3.820854167E-1,6.972323418E0,4.453750610E0,-4.334323883E1
3.927364167E-1,6.966021061E0,4.558189392E0,-4.333339691E1
4.034174167E-1,6.947763920E0,4.678251266E0,-4.332352829E1
4.140984167E-1,7.062453270E0,4.843914032E0,-4.328676605E1
4.247794167E-1,7.367094040E0,5.020660400E0,-4.321578979E1
4.354604167E-1,7.737730980E0,5.154056549E0,-4.313523865E1
4.461494167E-1,7.954715252E0,5.247936249E0,-4.308441925E1
4.568254167E-1,8.041517258E0,5.334018707E0,-4.305772781E1
4.675054167E-1,8.041517258E0,5.334018707E0,-4.305772781E1
4.781924167E-1,8.501272202E0,5.541777611E0,-4.294301605E1
4.888664167E-1,8.698988914E0,5.464803696E0,-4.291327286E1
4.995474167E-1,8.850625992E0,5.304557800E0,-4.290237427E1
5.102274167E-1,8.997748375E0,5.114473343E0,-4.289485168E1
5.209094167E-1,9.131939888E0,5.046569824E0,-4.287452698E1
5.315914167E-1,9.364471436E0,4.903804779E0,-4.284092712E1
5.422724167E-1,9.539134979E0,4.794172287E0,-4.281479263E1
5.529534167E-1,9.595366478E0,4.722702026E0,-4.281016922E1
5.636344167E-1,9.597770691E0,4.717086792E0,-4.281024933E1
5.743084167E-1,9.704635620E0,4.789850235E0,-4.277806854E1
5.850124167E-1,9.964261055E0,4.947113037E0,-4.270041275E1
5.956784167E-1,1.026984596E1,5.174257278E0,-4.260097504E1
6.063594167E-1,1.026984596E1,5.174257278E0,-4.260097504E1
6.170394167E-1,1.101713943E1,5.854591370E0,-4.232531357E1
6.277214167E-1,1.159632206E1,6.238420486E0,-4.211523438E1
6.384024167E-1,1.203097153E1,6.474805832E0,-4.195733643E1
6.490834167E-1,1.210253334E1,6.483026505E0,-4.193547821E1
6.597644167E-1,1.177899933E1,6.263917923E0,-4.206072235E1
6.704464167E-1,1.129410744E1,5.914651871E0,-4.224388123E1
6.811274167E-1,1.092786598E1,5.506922722E0,-4.239506149E1
6.918084167E-1,1.073576164E1,5.053064346E0,-4.250053787E1
7.024754167E-1,1.058802795E1,4.535953522E0,-4.259582520E1
7.131634167E-1,1.039222240E1,3.970436096E0,-4.270038605E1
7.238514167E-1,1.033108521E1,3.345428467E0,-4.276870728E1
7.345334167E-1,1.049188900E1,2.701684952E0,-4.277507019E1
7.452144167E-1,1.100996208E1,2.122409821E0,-4.267741394E1
7.558954167E-1,1.186182594E1,1.724256516E0,-4.246657181E1
7.665764167E-1,1.277718830E1,1.499382019E0,-4.220877838E1
7.772574167E-1,1.366462898E1,1.394287109E0,-4.193351364E1
7.879384167E-1,1.438265896E1,1.369318008E0,-4.169351959E1
7.986194167E-1,1.492226601E1,1.396039963E0,-4.150256348E1
