"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.190633333E-2,-4.234018624E-1,-2.441278249E-1,-1.118429005E-1
5.258733333E-2,-1.735267937E-1,-2.384462655E-1,-5.129434541E-2
6.326833333E-2,-8.995598555E-2,-3.223281503E-1,3.410495818E-2
7.394933333E-2,-1.309446990E-1,-4.266732037E-1,1.111139730E-1
8.463033333E-2,-2.343176901E-1,-5.127444863E-1,1.389274895E-1
9.531033333E-2,-3.905693293E-1,-5.779125690E-1,1.210955009E-1
1.059913333E-1,-5.407662988E-1,-6.416600943E-1,1.178046316E-1
1.166743333E-1,-5.768889189E-1,-6.960812807E-1,1.327436268E-1
1.273553333E-1,-5.051148534E-1,-7.488648295E-1,1.306732893E-1
1.380233333E-1,-4.059597254E-1,-7.353367805E-1,7.969346642E-2
1.486963333E-1,-3.293149769E-1,-6.266820431E-1,1.081706583E-2
1.593863333E-1,-3.069180548E-1,-5.729754567E-1,-7.821935415E-2
1.700623333E-1,-3.177751303E-1,-6.288360357E-1,-1.499542892E-1
1.807303333E-1,-2.944224179E-1,-7.192642093E-1,-1.649252623E-1
1.914113333E-1,-2.320197523E-1,-7.770457268E-1,-1.583781391E-1
2.020923333E-1,-1.530612856E-1,-7.280374169E-1,-1.701437235E-1
2.127733333E-1,-1.499184817E-1,-6.998904943E-1,-1.847508997E-1
2.234553333E-1,-2.190645337E-1,-7.806189060E-1,-1.743483245E-1
2.341363333E-1,-3.435617089E-1,-8.544986844E-1,-1.049037352E-1
2.448173333E-1,-5.471401215E-1,-8.350922465E-1,-7.699423470E-3
2.554933333E-1,-7.800183296E-1,-7.759990096E-1,4.605637118E-2
2.661813333E-1,-9.271912575E-1,-7.536420226E-1,8.056719601E-2
2.768733333E-1,-9.314094782E-1,-8.175400496E-1,6.714857370E-2
2.875423333E-1,-8.309168220E-1,-9.116833806E-1,4.280379042E-2
2.982233333E-1,-6.511819959E-1,-9.195541739E-1,7.976498455E-2
3.089043333E-1,-4.834595621E-1,-8.869658709E-1,1.473360211E-1
3.195843333E-1,-3.373734355E-1,-8.771547675E-1,1.603453010E-1
3.302663333E-1,-1.891128719E-1,-8.563411236E-1,1.636063457E-1
3.409473333E-1,-7.131886482E-2,-8.591882586E-1,1.854322851E-1
3.516283333E-1,-5.064480007E-3,-9.129878879E-1,2.284569740E-1
3.623103333E-1,-8.936716244E-3,-9.655088782E-1,2.661694586E-1
3.729913333E-1,-8.998949081E-2,-9.386489987E-1,2.634423673E-1
3.836673333E-1,-2.007344961E-1,-9.740204811E-1,1.915870905E-1
3.943533333E-1,-2.109615654E-1,-1.001896381E0,7.968638092E-2
4.050203333E-1,-1.021056548E-1,-1.043638825E0,-1.163287833E-2
4.156933333E-1,9.951855987E-2,-1.083761692E0,-8.571406454E-2
4.263663333E-1,2.349299043E-1,-1.107461691E0,-1.091424227E-1
4.370473333E-1,2.391675264E-1,-1.016377807E0,-6.282792240E-2
4.477283333E-1,1.200866848E-1,-9.197613001E-1,1.041166950E-2
4.584093333E-1,-9.510192089E-3,-9.507562518E-1,8.970090002E-2
