Timestamp,Milliseconds,Illuminance
2021-06-04 20:04:51,4,73.0
2021-06-04 20:04:51,102,80.0
2021-06-04 20:04:51,203,83.0
2021-06-04 20:04:52,302,85.0
2021-06-04 20:04:52,402,89.0
2021-06-04 20:04:52,502,91.0
2021-06-04 20:04:52,602,94.0
2021-06-04 20:04:52,702,96.0
2021-06-04 20:04:52,803,101.0
2021-06-04 20:04:52,902,91.0
2021-06-04 20:04:52,1002,91.0
2021-06-04 20:04:52,1102,72.0
2021-06-04 20:04:52,1203,64.0
2021-06-04 20:04:53,1302,64.0
2021-06-04 20:04:53,1402,51.0
2021-06-04 20:04:53,1502,49.0
2021-06-04 20:04:53,1602,49.0
2021-06-04 20:04:53,1703,49.0
2021-06-04 20:04:53,1802,47.0
2021-06-04 20:04:53,1903,48.0
2021-06-04 20:04:53,2002,50.0
2021-06-04 20:04:53,2102,51.0
2021-06-04 20:04:53,2202,51.0
2021-06-04 20:04:54,2303,53.0
2021-06-04 20:04:54,2403,47.0
2021-06-04 20:04:54,2502,36.0
2021-06-04 20:04:54,2602,35.0
2021-06-04 20:04:54,2704,38.0
2021-06-04 20:04:54,2802,38.0
2021-06-04 20:04:54,2903,32.0
2021-06-04 20:04:54,3002,43.0
2021-06-04 20:04:54,3102,54.0
2021-06-04 20:04:54,3203,70.0
2021-06-04 20:04:55,3302,75.0
2021-06-04 20:04:55,3403,81.0
2021-06-04 20:04:55,3502,76.0
2021-06-04 20:04:55,3602,77.0
2021-06-04 20:04:55,3702,63.0
2021-06-04 20:04:55,3803,60.0
2021-06-04 20:04:55,3902,60.0
2021-06-04 20:04:55,4002,63.0
2021-06-04 20:04:55,4102,69.0
2021-06-04 20:04:55,4203,75.0
2021-06-04 20:04:56,4302,79.0
2021-06-04 20:04:56,4402,85.0
2021-06-04 20:04:56,4503,92.0
2021-06-04 20:04:56,4602,92.0
2021-06-04 20:04:56,4702,100.0
2021-06-04 20:04:56,4802,154.0
2021-06-04 20:04:56,4902,154.0
2021-06-04 20:04:56,5002,124.0
2021-06-04 20:04:56,5103,96.0
2021-06-04 20:04:56,5202,123.0
2021-06-04 20:04:57,5302,150.0
2021-06-04 20:04:57,5403,127.0
2021-06-04 20:04:57,5502,93.0
2021-06-04 20:04:57,5602,88.0
2021-06-04 20:04:57,5703,88.0
2021-06-04 20:04:57,5802,58.0
2021-06-04 20:04:57,5902,46.0
2021-06-04 20:04:57,6002,48.0
2021-06-04 20:04:57,6103,48.0
2021-06-04 20:04:57,6202,48.0
2021-06-04 20:04:58,6302,59.0
2021-06-04 20:04:58,6403,102.0
2021-06-04 20:04:58,6502,102.0
2021-06-04 20:04:58,6602,296.0
2021-06-04 20:04:58,6703,282.0
2021-06-04 20:04:58,6802,246.0
