Timestamp,Milliseconds,Illuminance
2021-06-04 20:59:49,2,12.0
2021-06-04 20:59:49,101,12.0
2021-06-04 20:59:49,201,13.0
2021-06-04 20:59:49,301,15.0
2021-06-04 20:59:49,402,14.0
2021-06-04 20:59:49,502,15.0
2021-06-04 20:59:49,601,15.0
2021-06-04 20:59:50,701,16.0
2021-06-04 20:59:50,801,16.0
2021-06-04 20:59:50,901,17.0
2021-06-04 20:59:50,1002,16.0
2021-06-04 20:59:50,1101,17.0
2021-06-04 20:59:50,1216,16.0
2021-06-04 20:59:50,1316,17.0
2021-06-04 20:59:50,1416,17.0
2021-06-04 20:59:50,1533,17.0
2021-06-04 20:59:50,1637,16.0
2021-06-04 20:59:51,1738,16.0
2021-06-04 20:59:51,1839,15.0
2021-06-04 20:59:51,1916,14.0
2021-06-04 20:59:51,2040,14.0
2021-06-04 20:59:51,2116,12.0
2021-06-04 20:59:51,2240,9.0
2021-06-04 20:59:51,2307,8.0
2021-06-04 20:59:51,2426,8.0
2021-06-04 20:59:51,2526,8.0
2021-06-04 20:59:51,2616,7.0
2021-06-04 20:59:52,2706,8.0
2021-06-04 20:59:52,2833,8.0
2021-06-04 20:59:52,2937,9.0
2021-06-04 20:59:52,3041,9.0
2021-06-04 20:59:52,3134,9.0
2021-06-04 20:59:52,3240,9.0
2021-06-04 20:59:52,3337,20.0
2021-06-04 20:59:52,3436,22.0
2021-06-04 20:59:52,3527,22.0
2021-06-04 20:59:52,3636,16.0
2021-06-04 20:59:53,3725,12.0
2021-06-04 20:59:53,3833,13.0
2021-06-04 20:59:53,3933,14.0
2021-06-04 20:59:53,4033,18.0
2021-06-04 20:59:53,4133,18.0
2021-06-04 20:59:53,4236,11.0
2021-06-04 20:59:53,4336,10.0
2021-06-04 20:59:53,4434,9.0
2021-06-04 20:59:53,4533,8.0
2021-06-04 20:59:53,4641,7.0
2021-06-04 20:59:54,4733,6.0
2021-06-04 20:59:54,4836,5.0
2021-06-04 20:59:54,4936,4.0
2021-06-04 20:59:54,5033,2.0
2021-06-04 20:59:54,5139,2.0
2021-06-04 20:59:54,5236,2.0
2021-06-04 20:59:54,5336,2.0
2021-06-04 20:59:54,5433,3.0
2021-06-04 20:59:54,5530,3.0
2021-06-04 20:59:54,5641,3.0
2021-06-04 20:59:55,5736,2.0
2021-06-04 20:59:55,5841,2.0
2021-06-04 20:59:55,5936,1.0
2021-06-04 20:59:55,6017,1.0
2021-06-04 20:59:55,6502,1.0
2021-06-04 20:59:55,6502,1.0
2021-06-04 20:59:55,6502,1.0
2021-06-04 20:59:55,6502,1.0
2021-06-04 20:59:55,6502,1.0
2021-06-04 20:59:55,6641,2.0
2021-06-04 20:59:56,6726,2.0
2021-06-04 20:59:56,6839,2.0
2021-06-04 20:59:56,6929,2.0
2021-06-04 20:59:56,7033,2.0
2021-06-04 20:59:56,7142,2.0
2021-06-04 20:59:56,7241,2.0
2021-06-04 20:59:56,7339,2.0
2021-06-04 20:59:56,7436,2.0
2021-06-04 20:59:56,7506,2.0
2021-06-04 20:59:56,7633,2.0
2021-06-04 20:59:57,7707,2.0
2021-06-04 20:59:57,7817,2.0
2021-06-04 20:59:57,7941,2.0
2021-06-04 20:59:57,8038,2.0
2021-06-04 20:59:57,8142,2.0
2021-06-04 20:59:57,8222,2.0
2021-06-04 20:59:57,8333,2.0
2021-06-04 20:59:57,8434,2.0
2021-06-04 20:59:57,8533,2.0
2021-06-04 20:59:57,8642,2.0
2021-06-04 20:59:58,8733,2.0
2021-06-04 20:59:58,8842,2.0
2021-06-04 20:59:58,8908,2.0
2021-06-04 20:59:58,9041,2.0
2021-06-04 20:59:58,9138,2.0
2021-06-04 20:59:58,9217,2.0
2021-06-04 20:59:58,9314,3.0
2021-06-04 20:59:58,9408,3.0
2021-06-04 20:59:58,9507,3.0
2021-06-04 20:59:58,9638,3.0
2021-06-04 20:59:59,9741,3.0
2021-06-04 20:59:59,9835,3.0
2021-06-04 20:59:59,9941,3.0
2021-06-04 20:59:59,10020,3.0
2021-06-04 20:59:59,10108,3.0
2021-06-04 20:59:59,10218,3.0
2021-06-04 20:59:59,10337,3.0
2021-06-04 20:59:59,10434,2.0
2021-06-04 20:59:59,10508,2.0
2021-06-04 20:59:59,10608,3.0
2021-06-04 21:00:00,10738,3.0
2021-06-04 21:00:00,10807,3.0
2021-06-04 21:00:00,10908,2.0
2021-06-04 21:00:00,11019,2.0
2021-06-04 21:00:00,11108,2.0
2021-06-04 21:00:00,11218,2.0
2021-06-04 21:00:00,11308,2.0
2021-06-04 21:00:00,11418,2.0
2021-06-04 21:00:00,11508,2.0
2021-06-04 21:00:00,11628,2.0
2021-06-04 21:00:01,11702,2.0
2021-06-04 21:00:01,11841,2.0
2021-06-04 21:00:01,11917,2.0
2021-06-04 21:00:01,12018,2.0
2021-06-04 21:00:01,12136,2.0
2021-06-04 21:00:01,12234,2.0
2021-06-04 21:00:01,12341,3.0
2021-06-04 21:00:01,12429,3.0
2021-06-04 21:00:01,12542,3.0
2021-06-04 21:00:01,12641,4.0
2021-06-04 21:00:02,12707,4.0
2021-06-04 21:00:02,12840,3.0
2021-06-04 21:00:02,12939,3.0
2021-06-04 21:00:02,13040,3.0
2021-06-04 21:00:02,13139,3.0
2021-06-04 21:00:02,13234,3.0
2021-06-04 21:00:02,13320,3.0
2021-06-04 21:00:02,13410,2.0
2021-06-04 21:00:02,13541,2.0
2021-06-04 21:00:02,13629,3.0
2021-06-04 21:00:03,13728,3.0
2021-06-04 21:00:03,13841,3.0
2021-06-04 21:00:03,13941,3.0
2021-06-04 21:00:03,14042,3.0
2021-06-04 21:00:03,14142,3.0
2021-06-04 21:00:03,14233,3.0
2021-06-04 21:00:03,14342,3.0
2021-06-04 21:00:03,14441,3.0
2021-06-04 21:00:03,14537,3.0
2021-06-04 21:00:03,14638,3.0
2021-06-04 21:00:04,14742,3.0
2021-06-04 21:00:04,14838,3.0
2021-06-04 21:00:04,14941,3.0
2021-06-04 21:00:04,15009,3.0
2021-06-04 21:00:04,15109,3.0
2021-06-04 21:00:04,15209,3.0
2021-06-04 21:00:04,15342,3.0
2021-06-04 21:00:04,15434,3.0
2021-06-04 21:00:04,15530,3.0
2021-06-04 21:00:04,15629,3.0
2021-06-04 21:00:05,15729,3.0
2021-06-04 21:00:05,15829,4.0
2021-06-04 21:00:05,15930,4.0
2021-06-04 21:00:05,16030,4.0
2021-06-04 21:00:05,16129,4.0
2021-06-04 21:00:05,16231,4.0
2021-06-04 21:00:05,16329,4.0
2021-06-04 21:00:05,16429,4.0
2021-06-04 21:00:05,16529,3.0
2021-06-04 21:00:05,16609,3.0
2021-06-04 21:00:06,16734,3.0
2021-06-04 21:00:06,16842,3.0
2021-06-04 21:00:06,16934,3.0
2021-06-04 21:00:06,17009,3.0
2021-06-04 21:00:06,17135,3.0
2021-06-04 21:00:06,17209,3.0
2021-06-04 21:00:06,17309,3.0
2021-06-04 21:00:06,17409,3.0
2021-06-04 21:00:06,17542,3.0
2021-06-04 21:00:06,17641,3.0
2021-06-04 21:00:07,17726,3.0
2021-06-04 21:00:07,17841,3.0
2021-06-04 21:00:07,17934,3.0
2021-06-04 21:00:07,18042,3.0
2021-06-04 21:00:07,18137,3.0
2021-06-04 21:00:07,18230,3.0
2021-06-04 21:00:07,18334,3.0
2021-06-04 21:00:07,18441,3.0
2021-06-04 21:00:07,18533,3.0
2021-06-04 21:00:07,18642,3.0
2021-06-04 21:00:08,18736,3.0
2021-06-04 21:00:08,18838,3.0
2021-06-04 21:00:08,18927,2.0
2021-06-04 21:00:08,19032,2.0
2021-06-04 21:00:08,19132,3.0
2021-06-04 21:00:08,19241,3.0
2021-06-04 21:00:08,19337,3.0
2021-06-04 21:00:08,19437,3.0
2021-06-04 21:00:08,19538,3.0
2021-06-04 21:00:08,19638,3.0
2021-06-04 21:00:09,19741,4.0
2021-06-04 21:00:09,19842,4.0
2021-06-04 21:00:09,19941,4.0
2021-06-04 21:00:09,20042,4.0
2021-06-04 21:00:09,20103,3.0
2021-06-04 21:00:09,20236,3.0
2021-06-04 21:00:09,20334,3.0
2021-06-04 21:00:09,20440,3.0
2021-06-04 21:00:09,20517,2.0
2021-06-04 21:00:09,20642,2.0
2021-06-04 21:00:10,20717,2.0
2021-06-04 21:00:10,20830,2.0
2021-06-04 21:00:10,20934,2.0
2021-06-04 21:00:10,21038,2.0
2021-06-04 21:00:10,21134,2.0
2021-06-04 21:00:10,21224,2.0
2021-06-04 21:00:10,21321,2.0
2021-06-04 21:00:10,21430,2.0
2021-06-04 21:00:10,21520,2.0
2021-06-04 21:00:10,21610,2.0
2021-06-04 21:00:11,21740,2.0
2021-06-04 21:00:11,21834,2.0
